PWL_ID,WIN,NAME,DESCRIPT,BASIN,FACT_SHEET,Shape__Length
1401-0019,D (portion 2),"Delaware River, Middle Main Stem",from Lackawaxen River to Callicoon,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0019.html,21677.70867
1401-0064,D-10-22-P128-,Tribs to Swan Lake,total length of all tribs to the lake,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0064.pdf,16136.40594
1401-0066,D-10-25,"Middle Branch Mongaup, Lower, and tribs",stream and tribs from mouth to Ferndale,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0066.pdf,17206.28783
0501-0038,Pa  3-29,"Hoffman Brook, Upper, and tribs","stream and tribs, above Elmira Reservoir",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0038.pdf,10261.41691
0501-0040,Pa  3-30 thru 56 (selected),Minor Tribs to Chemung River,"total length of select tribs, fr Elmira to Painted Post",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0040.pdf,74680.94957
0501-0041,Pa  3-36,Hendy Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0041.pdf,18265.74678
0501-0042,Pa  3-39,"Sing Sing Creek, Lower, and minor tribs","stream and selected tribs, from mouth to Fisherville",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0042.pdf,24128.41561
0501-0043,Pa  3-39,"Sing Sing Creek, Upper, and tribs","stream and tribs, above Fisherville",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0043.pdf,48333.5451
0501-0044,Pa  3-39- 1,Cuthrie Run/Breed Hollow Brook and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0044.html,25205.24849
0501-0045,Pa  3-42,Winfield Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0045.pdf,44249.96245
0501-0046,Pa  3-47,Whisky Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0046.pdf,36833.4265
1403-0099,D-70-70,Platte Kill and Tribs,entire stream and tribs,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1403-0099.html,71237.34707
1403-0100,D-70-80,"Bush Kill, Lower, and minor tribs",stream and selected tribs from mouth to Fleischmanns,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1403-0100.html,15711.24538
1403-0102,D-70-84,Batavia Kill and tribs,entire stream and tribs,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1403-0102.pdf,41045.61469
1403-0104,D-70-49-3,Terry Clove Brook and tribs,entire stream and tribs,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1403-0104.pdf,35822.51069
1301-0168,"H- 62 thru 92, EOH (selected)",Minor Tribs to East of Hudson,"total length of select tribs, Bear Mt.Br. to Beacon",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0168.pdf,40727.49031
1301-0169,"H- 63 thru 88, WOH (selected)",Minor Tribs to West of Hudson,"total length of select tribs, Bear Mt.Br. to Cornwall",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0169.html,36762.08702
1301-0119,H- 43,"Lake Tiorati Brook, Upper, and tribs","stream and tribs, above Cedar Flats",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0119.pdf,27624.42887
1301-0120,H- 43- 1-11,"North Br Minisceongo Cr, Low, and tribs","stream and select tribs, from mouth to Willow Grove",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0120.html,9527.193854
1301-0121,H- 43- 1-11,"North Br Minisceongo Cr, Upp, and tribs","stream and tribs, above Willow Grove",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0121.pdf,6778.294408
1301-0130,H- 44,Furnace Brook and tribs,entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0130.pdf,24805.71752
1301-0133,"H- 46 thru 59, EOH (selected)",Minor Tribs to East of Hudson,"total length of select tribs, Crugers to Bear Mt.Br.",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0133.pdf,33927.81894
1301-0122,H- 43- 1-11- 5,Upper Horse Chock Brook and tribs,"stream and tribs, above First Reservoir (P150a)",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0122.pdf,3993.232834
1304-0012,H- 95- 2,"Dry Brook, Upper, and tribs","stream and tribs, above Beacon",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1304-0012.pdf,3561.890184
1304-0014,H- 95- 5,Clove Creek and tribs,entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1304-0014.pdf,57338.46822
1301-0236,H-215,Schodack Creek/Muitzes Kill and tribs,entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0236.pdf,74660.80066
1402-0050,D- 1-37 thru 63 (selected),Minor Tribs to Middle Neversink,total length of selected tribs fr Bridgeville to Reserv,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1402-0050.pdf,112520.3055
1401-0023,D- 5-,Minor Tribs to Upper Shingle Kill,entire length of Class B tribs to the Shingle Kill,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0023.pdf,3604.875122
1302-0088,H- 31-P44-17,"Plum Brook, Upper, and tribs","stream and tribs, above Lincolndale",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0088.pdf,10188.29891
1302-0091,H- 31-P44-18 thru 22,Minor Tribs to New Croton Reservoir,"total length of all tribs, Plum Brook to West Branch",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0091.pdf,17406.90677
1302-0092,H- 31-P44-23 (portion 1),"West Branch Croton R, Lower, Main Stem",from mouth at Croton Falls to Croton Falls Reservoir,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0092.pdf,1911.178744
1301-0221,"H-178 thru 192, WOH",Minor Tribs to West of Hudson,"total length of all tribs, New Camp to Catskill",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0221.pdf,28307.4739
0503-0029,Pa  3-57- 5-49,"Seeley/Carrington Cr, Lower, and tribs","stream and selected tribs, mouth to Hornell Reservoirs",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0029.pdf,24583.05814
0503-0030,Pa  3-57- 5-49,"Seeley/Carrington Cr, Upper, and tribs","stream and tribs, above Hornell Reservoirs",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0030.html,24011.42365
0503-0034,Pa  3-57- 9- 2,North Branch Glendening Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0034.html,19603.31562
0503-0035,Pa  3-57-21,Cowanesque River and tribs,stream and tribs (within NYS),Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0035.pdf,1355.971076
0503-0036,Pa 11 thru 20,Minor Tribs to Pennsylvania,total length of selected tribs (within NYS),Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0036.pdf,41479.86708
0503-0037,Pa 26 thru 29,Minor Tribs to Pennsylvania,total length of selected tribs (within NYS),Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0037.html,28278.09605
1302-0126,H- 31-P44-24- 9-P86-,Tribs to Bog Brook Reservoir,total length of all tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0126.html,8308.879953
1401-0067,D-10-25,"Middle Branch Mongaup, Upper, and tribs",stream and tribs above Ferndale,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0067.html,38709.13134
1401-0072,D-10-29-P158-,Trout Brook/Tribs to Grossingers Lake,entire length of Trout Brook/tribs to Grossingers Lake,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0072.pdf,8345.403185
1301-0152,H- 55-17,Wiccopee Brook and tribs,"entire stream and tribs, below reservoir",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0152.pdf,5109.481003
1301-0160,H- 61,Popolopen Creek and tribs,entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0160.html,72221.11531
1301-0222,"H-189 thru 203, EOH",Minor Tribs to East of Hudson,"total length of select tribs, from Linlithgo to Hudson",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0222.pdf,74952.20508
1301-0223,"H-196 thru 207, WOH (selected)",Minor Tribs to West of Hudson,"total length of select tribs, fr Catskill to Coxsackie",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0223.html,17405.20641
1301-0154,H- 55-17-P183a-,Tribs to Wiccopee Reservoir,total length of all tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0154.pdf,3584.715263
1301-0225,H-202,Murders Creek and tribs,entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0225.html,38343.71561
1401-0021,D- 3 thru 4,Minor Tribs to Delaware River,"total length of all tribs, Port Jervis to Millrift, PA",Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0021.pdf,6601.539651
1401-0022,D- 5,Shingle Kill and minor tribs,entire stream and selected/smaller tribs,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0022.html,28774.97642
1401-0025,D-10 (portion 3),"Mongaup River, Middle, and minor tribs",stream and selected tribs btw Rio and Swinging Br Res.,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0025.pdf,35803.68235
1401-0026,D-10 (portion 6),"Mongaup River, Upper, and tribs",stream and selected tribs abv Swinging Bridge Reservoir,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0026.html,23791.68363
1401-0027,D-10- 5,Bush Kill and tribs,entire stream and tribs,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0027.pdf,15779.81225
1401-0032,D-10-11,Black Brook and minor tribs,entire stream and selected/smaller tribs,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0032.pdf,41701.33954
1401-0042,D-10-14-P98-,Lebanon Lake Tributaries,entire length of all tribs to Lebanon Lake,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0042.pdf,16624.00113
1401-0044,D-10-15,Black Lake Creek and tribs,entire stream and tribs,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0044.pdf,44630.86022
1401-0047,D-10-15-P100a-,Toronto Reservoir Tributaries,entire length of all tribs to Toronto Reservoir,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0047.pdf,35989.58577
1401-0057,D-10-18,White Lake Brook and tribs,entire stream and tribs,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0057.pdf,36980.84426
1401-0060,D-10-20,Kinne Brook and tribs,entire stream and tribs,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0060.pdf,41513.59393
1401-0061,D-10-22,West Branch Mongaup and tribs,entire stream and tribs,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0061.pdf,66509.24044
1301-0134,"H- 48 thru 60, WOH (selected)",Minor Tribs to West of Hudson,"total length of select tribs, Stony Pt to Bear Mt.Br.",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0134.html,13063.92246
1301-0136,H- 51,"Dickey Brook, Upper, and tribs","stream and tribs, above Peekskill",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0136.pdf,7269.505508
1301-0138,H- 55,"Peekskill Hollow Cr, Middle, and tribs","stream and tribs, fr VanCortlandville to Putnam Valley",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0138.pdf,10787.37725
1301-0139,H- 55,"Peekskill Hollow Cr, Upper, and tribs","stream and tribs, above Putnam Valley",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0139.html,99896.06915
1301-0141,H- 55- 2,Canopus Creek and tribs,entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0141.html,46960.77436
1306-0043,H-139-13-11- 4,Kleine Kill and tribs,entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1306-0043.pdf,5187.90334
1301-0226,"H-207 thru 218, EOH (selected)",Minor Tribs to East of Hudson,"total length of select tribs, fr Stockport to Castleton",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0226.pdf,47289.05626
1301-0228,H-208- 6,"Bronks Lake Outlet, Upper, and tribs","stream, from reservoir to Bronks Lake",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0228.pdf,5717.187027
1301-0230,H-212,"Hannacrois Creek, Lower, and tribs","stream and tribs, from mouth to Deans Mill",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0230.html,15507.27918
1301-0231,H-212,"Hannacrois Creek, Upper, and tribs","stream and tribs, above Alcove Reservoir",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0231.html,58410.33687
1301-0233,H-214-10,Onesquethaw Creek and tribs,entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0233.pdf,40349.9891
1301-0116,"H- 21 thru 23, WOH",Minor Tribs to West of Hudson,"total length of select tribs, Nyack to Haverstraw",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0116.pdf,1881.181118
1301-0117,"H- 24 thru 27, EOH",Minor Tribs to East of Hudson,"total length of select tribs, N.Tarrytown to Ossining",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0117.html,5554.390956
1301-0118,H- 28,Sing Sing Creek and tribs,entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0118.pdf,14551.94157
0502-0034,Pa  3-58-28,"Fivemile Creek, Upper, and tribs","stream and tribs, above Beam Station",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0034.html,103273.5103
1301-0106,H- 13,"Sparkill Creek, Upper, and minor tribs","stream and select tribs, above NY-NJ state line",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0106.html,6714.377095
1301-0107,H- 13- 2 thru 3,Minor Tribs to Lower Sparkill Creek,total length of select tribs to Lower Sparkill Creek,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0107.pdf,1691.476277
0502-0014,Pa  3-58-38,Neil Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0014.pdf,101724.894
0503-0012,Pa  3-57- 5 (portion 3),"Canisteo River, Middle, and minor tribs","stream and selected tribs, from Cameron to Canisteo",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0012.html,98035.51674
0503-0013,Pa  3-57- 5 (portion 5),"Canisteo River, Upper, and minor tribs","stream and selected tribs, above Hornell",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0013.html,188577.4008
0503-0014,Pa  3-57- 5- 5,Goodhue Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0014.pdf,32655.70215
0503-0016,Pa  3-57- 5- 8,"Tuscarora Creek, Lower, and tribs","stream and tribs, from mouth to above South Addison",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0016.html,71102.2909
0503-0017,Pa  3-57- 5- 8,"Tuscarora Creek, Middle, and tribs","stream and tribs, from above South Addison to Woodhull",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0017.pdf,35744.26163
0502-0017,Pa  3-58 (portion 2),"Cohocton River, Middle, and minor tribs","stream and selected tribs, from Savona to Kanona",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0017.html,67647.17374
0502-0018,Pa  3-58 (portion 4),"Cohocton River, Upper, and minor tribs","stream and selected tribs, above Cohocton",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0018.html,157549.9049
0502-0019,Pa  3-58- 3,"Meads Creek, Upper, and tribs","stream and tribs, above Meads Creek",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0019.html,97710.14649
0502-0020,Pa  3-58- 3- 3,Dry Run and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0020.html,52333.69933
0502-0022,Pa  3-58- 8,Wolf Run and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0022.pdf,38035.19358
0502-0023,Pa  3-58-11,Michigan Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0023.html,56821.40316
0502-0025,Pa  3-58-15,Mud Creek and tribs,"entire stream and tribs, mouth to Lamoka Lake",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0025.html,87669.70441
0502-0028,Pa  3-58-15-P47-,Tribs to Lamoka Lake and Mill Pond,total length of selected tribs to Lamoka Lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0028.html,39703.76648
0601-0188,SR-146 (portion 3),"Unadilla River, Upper, and minor tribs","stream and select tribs, above Leonardsville",Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0188.html,173073.6708
0601-0189,SR-146- 1- 1,Upper Peckam Brook and tribs,stream and tribs above Sidnet Reservoir,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0189.pdf,8555.02629
0503-0024,Pa  3-57- 5-40,"Bennetts Creek, Upper, and tribs","stream and tribs, above Bennetts",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0024.html,129929.4067
0503-0025,Pa  3-57- 5-40- 1,Purdy Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0025.pdf,68249.53382
0503-0026,Pa  3-57- 5-47- 4,Karr Valley Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0026.html,74888.76684
1301-0238,"H-216 thru 220, WOH (selected)",Minor Tribs to West of Hudson,"total length of select tribs, from Coeymans to Glenmont",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0238.pdf,13444.42569
1301-0239,H-217,"Vloman Kill, Lower, and tribs","stream and tribs, from mouth to Mallorys Corners",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0239.html,43205.09632
1301-0240,H-217,"Vloman Kill, Upper, and tribs","stream and tribs, above Mallorys Corners",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0240.html,76340.88567
1302-0127,H- 31-P44-24- P89-,Tribs to East Branch Reservoir,total length of all tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0127.pdf,21003.28748
0502-0013,Pa  3-58-31,Goff Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0013.html,64157.75462
1302-0124,H- 31-P44-24 (portion 1),"East Branch Croton, Lower","stream, from mouth to Diverting Reservoir",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0124.pdf,4398.629043
1302-0125,H- 31-P44-24- 1,Holly Stream and tribs,entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0125.pdf,14459.84635
0503-0018,Pa  3-57- 5- 8,"Tuscarora Creek, Upper, and tribs","stream and tribs, above Woodhull",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0018.html,62853.52221
0503-0019,Pa  3-57- 5- 8-11,"North Branch Tuscarora, Lower, and tribs","stream and tribs, from mouth to Hedgesville",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0019.html,34050.49369
0503-0020,Pa  3-57- 5- 8-11,"North Branch Tuscarora, Upper, and tribs","stream and tribs, above Hedgesville",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0020.html,42828.43311
0503-0021,Pa  3-57- 5- 8-21,South Branch Tuscarora Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0021.html,39489.08735
0503-0023,Pa  3-57- 5-38,"Colonel Bills Creek, and tribs",entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0023.pdf,60191.18309
1304-0011,H- 95,"Fishkill Creek, Upper, and minor tribs","stream and select tribs, above Hopewell Junction",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1304-0011.pdf,135731.0485
1302-0093,H- 31-P44-23 (portion 3),"West Branch Croton R, Middle, and tribs",from Croton Falls Reservoir to West Branch Reservoir,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0093.pdf,9256.769709
0502-0036,Pa  3-58-32,Salmon Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0036.html,33144.83364
0502-0038,Pa  3-58-35,Tenmile Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0038.pdf,46015.82332
0502-0040,Pa  3-58-39,Twelvemile Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0040.html,90477.60752
0502-0041,Pa  3-58-45,Davis Hollow Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0041.pdf,27223.52044
1302-0082,H- 31-P44-14-P50-,Minor Tribs to Amawalk Reservoir,total length of select tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0082.pdf,5768.179347
1305-0023,H-101-21,"East Br Wappingers Cr, Upper, and tribs",stream and tribs above Millbrook,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1305-0023.html,26777.78621
1305-0030,H-101-12,Great Spring Brook and tribs,entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1305-0030.pdf,50330.58003
1306-0006,H-139-13-62,Rutgers Creek and minor tribs,entire stream and select tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1306-0006.html,128885.4531
1306-0009,H-139-14-P815a-48,Chestnut Creek and tribs,entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1306-0009.html,78645.8394
1306-0014,H-139-14-P815a-,Minor Tribs to Rondout Reservoir,"total length of select tribs, to Rondout Reservoir",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1306-0014.pdf,25129.05956
1301-0108,H- 13- 6 thru 13,Minor Tribs to Upper Sparkill Creek,total length of select tribs to Upper Sparkill Creek,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0108.pdf,3700.27315
0502-0016,Pa  3-58-19,Stocking Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0016.html,67824.41928
1401-0020,D (portion 1),"Delaware River, Lower, Main Stem",from NY-PA-NJ border to Lackawaxen River,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0020.html,22883.01135
1601-0021,Conn 15- 4-11,"Hiller Brook, Upper, and tribs",stream and tribs above Baker Corner,Housatonic River,https://www.dec.ny.gov/data/WQP/PWL/1601-0021.pdf,5168.132277
1601-0023,Conn 15- 6- 1,Wells Stream and tribs,entire stream and tribs,Housatonic River,https://www.dec.ny.gov/data/WQP/PWL/1601-0023.html,9022.018235
1302-0134,H- 31-P44-25 thru 33,Minor Tribs to New Croton Reservoir,"total length of select tribs, from East Br to Cross R",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0134.html,27074.584
1302-0135,H- 31-P44-26/P103-,Tribs to Titicus Reservoir,total length of all tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0135.html,49117.81204
1302-0137,H- 31-P44-35,"Cross River, Lower","stream, from mouth to Cross River Reservoir",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0137.pdf,486.1936074
1302-0138,H- 31-P44-35-P109-,Minor Tribs to Cross River Reservoir,total length of select tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0138.pdf,30228.17116
1302-0139,H- 31-P44-35-P109- 6,Upper Cross/Waccabuc River and tribs,stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0139.html,40810.11814
1306-0041,H-139-13-10- 1,"Unnamed Trib to Wallkill, Upp, and tribs",entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1306-0041.pdf,841.8784409
1306-0042,H-139-13-11,"Unnamed Trib to Wallkill, and mnr tribs",entire stream and select tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1306-0042.html,23684.84976
0502-0029,Pa  3-58-15-P47- 4-P48-,Tribs to Waneta Lake,total length of all tribs to Waneta Lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0029.html,19286.90628
0502-0030,Pa  3-58-18,Smith Run/Freeman Hollow Brook and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0030.pdf,40926.88407
0502-0031,Pa  3-58-27,"Campbell Creek, Lower, and tribs","stream and tribs, from mouth to Knight Settlement",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0031.pdf,32264.43161
0502-0032,Pa  3-58-27,"Campbell Creek, Upper, and tribs","stream and tribs, above Knight Settlement",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0032.pdf,55320.97268
0502-0033,Pa  3-58-28,"Fivemile Creek, Lower, and tribs","stream and tribs, from mouth to Beam Station",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0033.html,118695.209
1305-0022,H-101-21,"East Br Wappingers Cr, Lower, and tribs","stream and tribs, from mouth to above Millbrook",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1305-0022.html,64547.01631
1302-0047,H- 31-P44- 2,"Hunter Brook, Lower, and tribs","stream and tribs, from mouth to Mill Pond",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0047.html,4591.993136
1301-0109,H- 20,"Pocantico River, Lower, and tribs","stream and tribs, from N. Tarrytown to Pocantico Lk",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0109.html,15323.04819
1301-0110,H- 20,"Pocantico River, Middle, and tribs","stream and tribs, from Pocantico Lake to Echo Lake",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1301-0110.pdf,28136.8202
1302-0110,H- 31-P44-23-P59- 6-P62..P62a..P63-,Tribs to Stump Pond,total length of all tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0110.pdf,21899.37623
1302-0113,H- 31-P44-23..P67-,Minor Tribs to West Branch Reservoir,total length of select tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0113.pdf,42874.40682
1302-0098,H- 31-P44-23-P59- 1 thru 2,Minor Tribs to Croton Falls Reservoir,"total length of select tribs, western shore",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0098.pdf,2533.511804
1302-0143,H- 31-P44-36,"Stone Hill River, Upper, and tribs","stream and tribs, above Pound Ridge",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0143.pdf,6326.128125
1306-0080,H-139-13-61- 9-15,"Unnamed Trib to Wawayanda Cr, and tribs",entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1306-0080.pdf,6655.739898
1302-0056,H- 31-P44-24 (portion 5),"East Branch Croton, Upp, and tribs","stream and tribs, fr East Branch Res to Deforest Crnrs",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0056.html,17324.02223
1302-0057,H- 31-P44-24 (portion 6),"East Branch Croton, Upp, and minor tribs","stream and select tribs, above Deforest Corners",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1302-0057.html,111299.4103
