Segment_ID,Segment_Name,Class,FACT_SHEET,HMW ,Waterbody_Index_Number,Description,Monitoring_Data,USGS,6NYCRR_Chapter_X_Part,Basin,Segment_Miles,Waterbody_Type,Notes,Shape__Area,Shape__Length
1702-0011,"East River, Lower",I,https://www.dec.ny.gov/data/WQP/PWL/1702-0011.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0011/2018,(MW2.1)  ER (portion 1),river from Battery to Hells Gate,https://www.riverkeeper.org/water-quality/hudson-river/nyc-hudson-bergen/east-river-midchannel-roosevelt/,,890,Atlantic Ocean/Long Island Soun,,Estuary,,9199902.484,64900.21864
1702-0012,Westchester Creek,I,https://www.dec.ny.gov/data/WQP/PWL/1702-0012.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0012/2018,(MW2.4)  ER-4,"entire tidal reach, incl Pugsley Cr",,,935,Atlantic Ocean/Long Island Soun,,Estuary,,1073174.139,11471.31215
1702-0015,"Port Jefferson Harbor, North, and tribs",SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0015.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0015/2018,(MW5.4c) LIS-PJH (portion 1),"portion of harbor, as described below",,,925,Atlantic Ocean/Long Island Soun,,Estuary,,4053268.051,16433.4497
1702-0016,Oyster Bay Harbor,SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0016.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0016/2018,(MW4.4a) LIS-OBH,entire bay,,,885,Atlantic Ocean/Long Island Soun,,Estuary,,9911329.89,24272.10231
1702-0019,Mt Sinai Harbor and tidal tribs,SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0019.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0019/2018,(MW5.4d) LIS-  MSH,entire harbor and tidal tribs,,,925,Atlantic Ocean/Long Island Soun,,Estuary,,1606394.066,19883.3662
1702-0020,"Mattituck Inlet/Cr, Low, and tidal tribs",SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0020.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0020/2018,(MW5.4e) LIS- 71,tidal portion of stream and tribs,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,582139.7244,15738.21219
1702-0022,"Hempstead Harbor, north, and tidal tribs",SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0022.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0022/2018,(MW4.3a) LIS-HH,"portion of bay, as described below",,,885,Atlantic Ocean/Long Island Soun,,Estuary,,10511879.67,20547.07792
1702-0023,Smithtown Bay,SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0023.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0023/2018,(MW5.4a) LIS-SB,"entire bay, as described below",,,925,Atlantic Ocean/Long Island Soun,,Estuary,,89781168.4,52016.31984
1702-0027,"Long Island Sound, Western Portion",SB,https://www.dec.ny.gov/data/WQP/PWL/1702-0027.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0027/2018,(MW2.6)  LIS (portion 1),Sound fr Throgs Neck Br to line btw Premium/Hewlett Pts,,,935,Atlantic Ocean/Long Island Soun,,Estuary,,33358629.35,76199.19981
1702-0028,"Long Island Sound, Nassau County Waters",SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0028.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0028/2018,(MW4.1)  LIS (portion 3),Sound fr line btw Premium/Hewlett Pts to Nassau/Suffolk,,,885,Atlantic Ocean/Long Island Soun,,Estuary,,133769031.2,91959.86661
1702-0029,Little Neck Bay,SB,https://www.dec.ny.gov/data/WQP/PWL/1702-0029.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0029/2018,(MW2.5)  ER/LIS-LNB,"entire bay, as described below",,,935,Atlantic Ocean/Long Island Soun,,Estuary,,6440639.758,15952.92237
1702-0032,"East River, Upper",SB,https://www.dec.ny.gov/data/WQP/PWL/1702-0032.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0032/2018,(MW2.3)  ER (portion 3),"river from Whitestone Br to Throgs Neck Br, Queens",,,935,Atlantic Ocean/Long Island Soun,,Estuary,,4764811.713,13217.38156
1702-0046,"West Harbor, Fishers Island",SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0046.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0046/2018,(MW5.4g) LIS-FI-WH,"entire harbor, as described below",,,924,Atlantic Ocean/Long Island Soun,,Estuary,,1502028.966,9433.547303
1702-0047,Stony Brook Harbor and West Meadow Creek,SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0047.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0047/2018,(MW5.4a) LIS-SB-SBH,entire harbor and tidal tribs,,,925,Atlantic Ocean/Long Island Soun,,Estuary,,3218391.449,42481.78836
1702-0091,Conscience Bay and tidal tribs,SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0091.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0091/2018,(MW5.4c) LIS-PJH-CB,entire bay,,,925,Atlantic Ocean/Long Island Soun,,Estuary,,924113.7205,5463.699758
1702-0098,"Long Island Sound, Suffolk County, West",SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0098.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0098/2018,(MW5.1)  LIS (portion 4),Sound fr Nassau/Suffolk Co line to Old Field Point,,,925,Atlantic Ocean/Long Island Soun,,Estuary,,180624521.7,72503.245
1702-0115,Minor Tribs to Upper East River,I,https://www.dec.ny.gov/data/WQP/PWL/1702-0115.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0115/2018,(MW2.5)  ER-LI- 8 thru 15 (select),total area of selected tidal tribs to river,,,935,Atlantic Ocean/Long Island Soun,,Estuary,,1022642.259,8957.999266
1702-0116,Larchmont Harbor,SB,https://www.dec.ny.gov/data/WQP/PWL/1702-0116.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0116/2018,(MW3.1)  LIS (portion 2a),"entire harbor, as described below",,,935,Atlantic Ocean/Long Island Soun,,Estuary,,839542.0217,8787.45136
1702-0125,Mamaroneck Harbor,SB,https://www.dec.ny.gov/data/WQP/PWL/1702-0125.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0125/2018,(MW3.3)  LIS (portion 2b),entire harbor,,,935,Atlantic Ocean/Long Island Soun,,Estuary,,514684.0332,12054.65827
1702-0126,"Beaver Swamp Brook, Lower",SC,https://www.dec.ny.gov/data/WQP/PWL/1702-0126.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0126/2018,(MW3.3)  LIS- 9,reach from mouth to end of tidal portion,,,935,Atlantic Ocean/Long Island Soun,,Estuary,,30853.02783,2014.608107
1702-0141,"Manhasset Bay, and tidal tribs",SB,https://www.dec.ny.gov/data/WQP/PWL/1702-0141.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0141/2018,(MW4.2b) LIS-MB (portion 2),"portion of bay, as described below",,,885,Atlantic Ocean/Long Island Soun,,Estuary,,2088650.323,10867.4095
1702-0145,Mill Pond,SC,https://www.dec.ny.gov/data/WQP/PWL/1702-0145.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0145/2018,(MW4.2b) LIS-MB-P125,entire tidal waterbody,,,885,Atlantic Ocean/Long Island Soun,,Estuary,,20937.40356,749.891177
1702-0148,West Pond,SC,https://www.dec.ny.gov/data/WQP/PWL/1702-0148.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0148/2018,(MW4.3b) LIS-40/P145a,entire tidal waterbody,,,885,Atlantic Ocean/Long Island Soun,,Estuary,,92049.2041,1910.704879
1702-0150,Minor Tribs to Long Island Sound,SC,https://www.dec.ny.gov/data/WQP/PWL/1702-0150.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0150/2018,"(MW4.3b) LIS-42,43",total area of selected tidal tribs to sound,,,885,Atlantic Ocean/Long Island Soun,,Estuary,,77546.58716,5307.970609
1702-0227,Lloyd Harbor,SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0227.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0227/2018,(MW5.2a) LIS-HB-LH,entire harbor,,,925,Atlantic Ocean/Long Island Soun,,Estuary,,2825091.988,16942.66173
1702-0228,Huntington Harbor,SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0228.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0228/2018,(MW5.2a) LIS-HB-HH,entire harbor,,,925,Atlantic Ocean/Long Island Soun,,Estuary,,1402377.497,10692.73923
1702-0230,Northport Harbor,SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0230.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0230/2018,(MW5.2a) LIS-HB-NB-NH,entire harbor,,,925,Atlantic Ocean/Long Island Soun,,Estuary,,1801691.777,10716.62544
1702-0232,Tidal Tribs to Long Island Sound,SC,https://www.dec.ny.gov/data/WQP/PWL/1702-0232.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0232/2018,(MW5.2b) LIS- 58 thru 61,total area of selected tidal tribs to sound,,,925,Atlantic Ocean/Long Island Soun,,Estuary,,344424.5972,9023.078007
1702-0242,Setauket Harbor,SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0242.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0242/2018,(MW5.4c) LIS-PJH-SH,entire harbor,,,925,Atlantic Ocean/Long Island Soun,,Estuary,,843695.6902,7719.887397
1702-0256,Northport Bay,SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0256.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0256/2018,(MW5.2a) LIS-HB-NB,"entire bay, as described below",,,925,Atlantic Ocean/Long Island Soun,,Estuary,,7653719.071,17931.00158
1702-0259,New Rochelle Harbor,SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0259.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0259/2018,(MW2.6)  LIS (portion 1b),"entire harbor, as described below",,,935,Atlantic Ocean/Long Island Soun,,Estuary,,1137556.386,15975.66381
1702-0262,Duck Island Harbor,SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0262.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0262/2018,(MW5.2a) LIS-HB-NB-DIH,entire harbor,,,925,Atlantic Ocean/Long Island Soun,,Estuary,,1104083.047,10157.62124
1702-0263,"Hempstead Harbor, south, and tidal tribs",SB,https://www.dec.ny.gov/data/WQP/PWL/1702-0263.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0263/2018,(MW4.3a) LIS-HH,"portion of bay, as described below",,,885,Atlantic Ocean/Long Island Soun,,Estuary,,1500028.663,8989.939691
1702-0264,Fishers Island Sound,SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0264.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0264/2018,(MW5.4g) LIS-FI,estuary waters surrounding Fishers Island,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,24429521.58,39406.73501
1702-0265,"Long Island Sound, Suffolk Co, Central",SA,https://www.dec.ny.gov/data/WQP/PWL/1702-0265.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1702-0265/2018,(MW5.4c) LIS (portion 5),Sound from Old Field Point to Mattituck Inlet,,,921,Atlantic Ocean/Long Island Soun,,Estuary,,737270653.1,126584.1793
1701-0170,"Shelter Island Sound, North, and tribs",SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0170.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0170/2018,(MW6.1b) GB-SIS,Sound and selected tidal tribs north of Paradise Point,,https://waterdata.usgs.gov/ny/nwis/uv/?site_no=01304650,924,Atlantic Ocean/Long Island Soun,,Estuary,,10976850.1,34575.99314
1701-0001,Shellbank Basin,I,https://www.dec.ny.gov/data/WQP/PWL/1701-0001.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0001/2018,(MW8.5a) JB-248a,entire basin,,,891,Atlantic Ocean/Long Island Soun,,Estuary,,183456.9314,4460.199459
1701-0002,Raritan Bay (Class SA),SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0002.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0002/2018,(MW1.2)  RB (portion 1),"portion of bay, as described below",,,890,Atlantic Ocean/Long Island Soun,,Estuary,,25236327.55,22145.81012
1701-0008,Coney Island Creek,I,https://www.dec.ny.gov/data/WQP/PWL/1701-0008.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0008/2018,(MW1.1)  LB/GB-253,entire estuary/stream,,,891,Atlantic Ocean/Long Island Soun,,Estuary,,94832.18384,3852.998663
1701-0009,Bergen Basin,I,https://www.dec.ny.gov/data/WQP/PWL/1701-0009.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0009/2018,(MW8.5a) JB-247,entire basin,,,891,Atlantic Ocean/Long Island Soun,,Estuary,,280434.5627,5869.744237
1701-0010,Arthur Kill (Class I) and minor tribs,I,https://www.dec.ny.gov/data/WQP/PWL/1701-0010.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0010/2018,(MW1.2)  SI (portion 1),river from mouth to Outerbridge Crossing,,,890,Atlantic Ocean/Long Island Soun,,Estuary,,993737.6243,8106.013733
1701-0152,Thurston Basin,I,https://www.dec.ny.gov/data/WQP/PWL/1701-0152.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0152/2018,(MW8.5a) JB-241a,entire basin,,,891,Atlantic Ocean/Long Island Soun,,Estuary,,126701.3826,3229.384275
1701-0172,Little Peconic Bay,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0172.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0172/2018,(MW6.1c) GB..LPB,"entire bay, as described below",,,924,Atlantic Ocean/Long Island Soun,,Estuary,,52348409.95,37724.56743
1701-0179,Lower New York Bay/Gravesend Bay,I,https://www.dec.ny.gov/data/WQP/PWL/1701-0179.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0179/2018,(MW1.1)  LB/GB,"entire bay, as described below",,,890,Atlantic Ocean/Long Island Soun,,Estuary,,120770484.1,53309.79876
1701-0180,Raritan Bay (Class SB),SB,https://www.dec.ny.gov/data/WQP/PWL/1701-0180.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0180/2018,(MW1.2)  RB (portion 2),"portion of bay, as described below",,,890,Atlantic Ocean/Long Island Soun,,Estuary,,8344213.179,12517.12741
1701-0182,Arthur Kill (Class SD) and minor tribs,SD,https://www.dec.ny.gov/data/WQP/PWL/1701-0182.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0182/2018,(MW1.2)  SI (portion 2),river from Outerbridge Crossing to Newark Bay,,,890,Atlantic Ocean/Long Island Soun,,Estuary,,4927510.587,41238.63317
1701-0183,Newark Bay,SD,https://www.dec.ny.gov/data/WQP/PWL/1701-0183.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0183/2018,(MW1.2)  SI (portion 3),"entire bay, within New York State",,,890,Atlantic Ocean/Long Island Soun,,Estuary,,1214607.754,7770.163408
1701-0184,Kill Van Kull,SD,https://www.dec.ny.gov/data/WQP/PWL/1701-0184.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0184/2018,(MW1.2)  SI (portion 4),"entire river, within New York State",,,890,Atlantic Ocean/Long Island Soun,,Estuary,,1505896.289,10949.82252
1701-0185,Erie Basin,SD,https://www.dec.ny.gov/data/WQP/PWL/1701-0185.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0185/2018,(MW1.3)  UB-EB,"entire basin, as described below",,,890,Atlantic Ocean/Long Island Soun,,Estuary,,326824.5247,8752.891799
1701-0187,"Minor Staten Island Tribs, Lower",I,https://www.dec.ny.gov/data/WQP/PWL/1701-0187.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0187/2018,(MW1.2)  SI- 1 thru 6 (selected),total area of selected tidal tribs,,,890,Atlantic Ocean/Long Island Soun,,Estuary,,1253604.22,6616.765274
1701-0189,"Minor Staten Island Tribs, Lower",SD,https://www.dec.ny.gov/data/WQP/PWL/1701-0189.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0189/2018,(MW1.2)  SI- 7a thru 7e,total area of selected tidal tribs,,,890,Atlantic Ocean/Long Island Soun,,Estuary,,184369.1267,7304.180243
1701-0194,Minor Tidal Tribs to Jamaica Bay,I,https://www.dec.ny.gov/data/WQP/PWL/1701-0194.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0194/2018,(MW8.5a) JB-241 thru 249 (selected,total area of all selected tribs,,,891,Atlantic Ocean/Long Island Soun,,Estuary,,26204.25366,1502.657443
1701-0203,LI Tidal Tribs to East Bay,SC,https://www.dec.ny.gov/data/WQP/PWL/1701-0203.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0203/2018,(MW8.2a) EB-224 thru 227 (selected),total area of selected tidal tribs to bay,,,885,Atlantic Ocean/Long Island Soun,,Estuary,,1052225.255,37009.46939
1701-0213,Shell Creek and Barnums Channel,SB,https://www.dec.ny.gov/data/WQP/PWL/1701-0213.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0213/2018,"(MW8.3a) MDB-SC,232a",tidal portions of both streams/channels,,,885,Atlantic Ocean/Long Island Soun,,Estuary,,413313.7986,8461.880706
1701-0217,East Rockaway Inlet,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0217.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0217/2018,(MW8.3)  MDB-ERI,"channel, west of Atlantic Beach Blvd",,,891,Atlantic Ocean/Long Island Soun,,Estuary,,723932.5183,5427.38763
1701-0219,Woodmere Channel,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0219.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0219/2018,(MW8.4a) HB-236,entire channel,,,885,Atlantic Ocean/Long Island Soun,,Estuary,,106142.0767,3235.814077
1701-0226,"Jamaica Bay, Western, and tribs (Brklyn)",SB,https://www.dec.ny.gov/data/WQP/PWL/1701-0226.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0226/2018,(MW8.6)  JB,portion of bay and selected tidal tribs within Brooklyn,,,891,Atlantic Ocean/Long Island Soun,,Estuary,,26470834.39,138311.3278
1701-0228,Dam Pond,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0228.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0228/2018,(MW6.1a) GB- 76-P395,entire tidal waterbody,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,211402.8838,4494.504733
1701-0229,Marion Lake,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0229.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0229/2018,(MW6.1a) GB- 77a-P396,entire tidal waterbody,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,109387.0747,2483.034735
1701-0012,Fresh Kills,SD,https://www.dec.ny.gov/data/WQP/PWL/1701-0012.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0012/2018,(MW1.2)  SI- 8 (portion 1),reach fr mouth to Richmond/Main Cr confluence (tidal),,,890,Atlantic Ocean/Long Island Soun,,Estuary,,810626.854,5556.053669
1701-0232,"SI Sound Trib/Moores Drain, Lower, tribs",SC,https://www.dec.ny.gov/data/WQP/PWL/1701-0232.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0232/2018,(MW6.1b) GB-SIS- 79,tidal portion of stream and tribs,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,46488.02808,2039.403827
1701-0238,Mill Creek and tidal tribs,SC,https://www.dec.ny.gov/data/WQP/PWL/1701-0238.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0238/2018,(MW6.3d) GB-SIS-127,entire tidal reach and tribs,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,131630.6316,3985.779741
1701-0243,Cedar Beach Creek and tidal tribs,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0243.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0243/2018,(MW6.1c) GB..LPB- 88,entire tidal reach and tribs,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,139054.0378,6359.629605
1701-0246,West Creek and tidal tribs,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0246.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0246/2018,(MW6.1d) GB..GPB- 96,entire tidal reach and tribs,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,251943.0991,8728.306823
1701-0251,Squire Pond and tribs,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0251.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0251/2018,(MW6.3b) GB..GPB-119/P645,entire tidal waterbody,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,80454.61646,1545.544468
1701-0252,"Shinnecock Canal, north end, and tribs",SC,https://www.dec.ny.gov/data/WQP/PWL/1701-0252.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0252/2018,(MW6.3b) GB..GPB-120,"canal, from mouth (Shinnecock Light) to locks",,,924,Atlantic Ocean/Long Island Soun,,Estuary,,82955.58154,2489.626222
1701-0272,Reeves Bay and tidal tribs,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0272.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0272/2018,(MW6.3a) GB..FB-RB,entire bay and tidal tribs,,,921,Atlantic Ocean/Long Island Soun,,Estuary,,1488057.357,17039.96184
1701-0278,Block Island Sound,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0278.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0278/2018,(MW6.3h) BIS,"entire sound, as described below",,,924,Atlantic Ocean/Long Island Soun,,Estuary,,619006024.9,124666.0844
1701-0279,Fresh Pond,SC,https://www.dec.ny.gov/data/WQP/PWL/1701-0279.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0279/2018,(MW6.3h) BIS-141/P749,entire tidal waterbody,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,67452.50317,1838.464028
1701-0283,"Beach/Island Ponds, Fishers Island",SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0283.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0283/2018,"(MW5.4g) LIS-FI-P1101,P1102",total area of both ponds,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,198703.751,4055.23653
1701-0292,Channel Pond,SC,https://www.dec.ny.gov/data/WQP/PWL/1701-0292.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0292/2018,(MW7.1b) AO-P790..P808,entire tidal waterbody,,,923,Atlantic Ocean/Long Island Soun,,Estuary,,108328.8105,1713.38248
1701-0038,"Moriches Bay, West",SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0038.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0038/2018,(MW7.2a) AO-MB (portion 2),"portion of bay, as described below",,,920,Atlantic Ocean/Long Island Soun,,Estuary,,12186960.23,35464.5453
1701-0041,South Oyster Bay,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0041.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0041/2018,(MW8.1)  SOB,"entire bay, as described below",,,885,Atlantic Ocean/Long Island Soun,,Estuary,,21467212.58,160291.2161
1701-0045,Cutchogue Harbor and tidal tribs,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0045.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0045/2018,(MW6.1c) GB..LPB-CH,entire harbor and tidal tribs,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,4883944.264,38721.91897
1701-0048,Wooley Pond,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0048.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0048/2018,(MW6.3c) GB..LPB-124-P665,entire tidal waterbody,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,131057.7996,3327.666975
1701-0051,Sebonac Cr/Bullhead Bay and tidal tribs,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0051.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0051/2018,(MW6.3b) GB..GPB-122-P648,entire tidal reach and tribs,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,679229.8037,9714.896286
1701-0111,Weesuck Creek and tidal tribs,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0111.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0111/2018,(MW7.1b) AO-SB-153,entire tidal reach and tribs,,,923,Atlantic Ocean/Long Island Soun,,Estuary,,63649.97266,2329.75612
1701-0146,Sagaponack Pond,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0146.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0146/2018,(MW7.1a) AO-P786,entire tidal waterbody,,,924,Atlantic Ocean/Long Island Soun,,Estuary,,375523.4221,3913.630611
1701-0148,Sheepshead Bay,I,https://www.dec.ny.gov/data/WQP/PWL/1701-0148.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0148/2018,(MW8.6a) JB-252a,entire bay,,,891,Atlantic Ocean/Long Island Soun,,Estuary,,395264.0864,4161.181384
1701-0150,Richmond/Main Creeks and tribs,SC,https://www.dec.ny.gov/data/WQP/PWL/1701-0150.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0150/2018,(MW1.2)  SI- 8 (portion 2),reach and tribs above confluence (tidal),,,890,Atlantic Ocean/Long Island Soun,,Estuary,,775043.2754,15115.88845
1701-0302,Ogden Pond,SA,https://www.dec.ny.gov/data/WQP/PWL/1701-0302.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0302/2018,(MW7.1b) AO-SB-QgC-P834,entire pond,,,923,Atlantic Ocean/Long Island Soun,,Estuary,,52575.07251,1118.427716
1701-0304,Old Ice Pond,B,https://www.dec.ny.gov/data/WQP/PWL/1701-0304.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0304/2018,(MW7.1c) AO-SB-QB-158-P835a,entire pond,,,923,Atlantic Ocean/Long Island Soun,,Estuary,,40588.27832,1288.761419
1701-0307,Beaverdam Pond,B,https://www.dec.ny.gov/data/WQP/PWL/1701-0307.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0307/2018,(MW7.2a) AO-MB-162-P837,entire pond,,,920,Atlantic Ocean/Long Island Soun,,Estuary,,36378.60742,1371.096842
1701-0313,"Terrell River, Lower, and tidal tribs",SC,https://www.dec.ny.gov/data/WQP/PWL/1701-0313.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY1701-0313/2018,(MW7.2a) AO-MB-170,tidal portion of stream and tribs fr mouth to Mill Pond,,,920,Atlantic Ocean/Long Island Soun,,Estuary,,289278.1055,6180.396627
