Segment ID,Waterbody Index Number (WIN),Name,Description,6NYCRR Chapter X Part,Water Quality Class,Basin,Segment Miles,Waterbody Type
0303-0055,Ont  45- 4,Bear Creek and tribs,entire stream and tribs,847,C(T),Lake Ontario,20.09,Streams
0303-0056,Ont  45- 9,Raystone Creek and minor tribs,entire stream and select tribs,847,C,Lake Ontario,25.07,Streams
0303-0057,Ont  45- 9- 2,Fox Creek and tribs,entire stream and tribs,847,C(T),Lake Ontario,25.17,Streams
0303-0060,Ont  47,"Skinner Creek, Lower, and tribs","stream and tribs, from mouth to Mannsville",847,C(TS),Lake Ontario,21.28,Streams
0303-0061,Ont  47,"Skinner Creek, Middle, and tribs","stream and tribs, from Mannsville to Lorraine town line",847,A(TS),Lake Ontario,11.64,Streams
0303-0062,Ont  47,"Skinner Creek, Upper, and tribs","stream and tribs, above Ellisburg-Lorraine town line",847,C(TS),Lake Ontario,16.05,Streams
0303-0063,Ont  48,Lindsey Creek and tribs,entire stream and tribs,847,C,Lake Ontario,47.5,Streams
0303-0064,Ont  50,"Little Sandy Creek, Upper, and tribs","stream and tribs, above Lacona",847,A(TS),Lake Ontario,37.44,Streams
0303-0066,Ont  52,Deer Creek/Little Deer Creek and tribs,entire stream and tribs,847,C,Lake Ontario,53.34,Streams
0303-0068,Ont  53 (portion 3),"Salmon River, Middle, and tribs","stream and tribs, from Bennett Bridge to Redfield",847,C(T),Lake Ontario,35.72,Streams
0303-0070,Ont  53 (portion 5),"Salmon River, Upper, and tribs","stream and tribs, above Redfield",847,C(TS),Lake Ontario,119.07,Streams
0303-0071,Ont  53- 5,Trout Brook and tribs,entire stream and tribs,847,C(T),Lake Ontario,54.01,Streams
0303-0072,Ont  53- 6,Orwell Brook and tribs,entire stream and tribs,847,C(T),Lake Ontario,43.69,Streams
0303-0075,Ont  53-16,North Branch Salmon R and minor tribs,entire stream and select tribs,847,C(T),Lake Ontario,62.48,Streams
0303-0076,Ont  53-16- 3,Mill Creek and tribs,entire stream and tribs,847,C(T),Lake Ontario,41.89,Streams
0303-0077,Ont  53-16-10,Mad River and tribs,entire stream and tribs,847,C(T),Lake Ontario,149.79,Streams
0303-0079,Ont  53-26,Prince Brook and tribs,entire stream and tribs,847,C(TS),Lake Ontario,17.99,Streams
0303-0080,Ont  53-33,Fall Brook and tribs,entire stream and tribs,847,C(T),Lake Ontario,21.58,Streams
0303-0081,Ont  54,Grindstone Creek and minor tribs,entire stream and select tribs,898,C(T),Lake Ontario,10.15,Streams
0303-0082,Ont  54,North Branch Grindstone Creek and tribs,entire stream and tribs,847,C(T),Lake Ontario,21.57,Streams
0303-0083,Ont  54- 2,Little Grindstone Creek and tribs,entire stream and tribs,847,C(T),Lake Ontario,28.24,Streams
0303-0084,Ont  54- 4,South Branch Grindstone Creek and tribs,entire stream and tribs,880,C(T),Lake Ontario,23.98,Streams
0303-0086,Ont  55,Snake Creek and tribs,entire stream and tribs,880,C,Lake Ontario,24,Streams
0303-0087,Ont  57,Sage Creek and tribs,entire stream and tribs,847,C,Lake Ontario,29.62,Streams
0303-0089,Ont  58- 9,North Branch Little Salmon R and tribs,entire stream and tribs,847,C,Lake Ontario,47.4,Streams
0303-0095,Ont  58-10,South Branch Little Salmon R and tribs,entire stream and tribs,847,C,Lake Ontario,34.18,Streams
0303-0098,Ont  59,Butterfly Creek and tribs,entire stream and tribs,847,C,Lake Ontario,21.4,Streams
0303-0099,Ont  60,Catfish Creek and tribs,entire stream and tribs,847,C(T),Lake Ontario,42.65,Streams
0303-0101,Ont  19a thru 24 (select),Minor Tribs to L. Ontario,"total length of select tribs, from Black R to Sawyer Pt",847,C,Lake Ontario,5.62,Streams
0401-0001,Ont 117 (portion  1),"Genesee River, Lower, Main Stem",from mouth to NYS Barge Canal,820,B,Genesee River,11.73,Streams
0401-0003,Ont 117 (portion  2),"Genesee River, Middle, Main Stem",from NYS Barge Canal to Scottsville,820,B,Genesee River,10.6,Streams
0401-0013,Ont 117-  1 thru 7,Minor Tribs to Lower Genesee River,total length of selected/smaller tribs to Genesee River,820,C,Genesee River,3.6,Streams
0402-0007,Ont 117- 27-34-P44-7-4,Limekiln Creek and tribs,entire stream and tribs,821,C,Genesee River,22.92,Streams
0402-0009,Ont 117 (portion  3),"Genesee River, Middle, Main Stem",from Scottsville to Mount Morris,821,C,Genesee River,44.95,Streams
0402-0013,Ont 117- 27-34,Hemlock Lake Outlet and minor tribs,stream and selected/smaller tribs,821,C,Genesee River,29.18,Streams
0402-0014,Ont 117- 60-2,Little Beards Creek and tribs,entire stream and tribs,821,C,Genesee River,52.01,Streams
0402-0016,Ont 117- 19-30,Bigelow Creek and tribs,entire stream and tribs,821,C,Genesee River,11.26,Streams
0402-0019,Ont 117- 27,"Honeoye Creek, Lower, and minor tribs",stream and smaller tribs from mouth to Spring Brook,821,C,Genesee River,124.7,Streams
0402-0024,Ont 117- 14,Red Creek and tributaries,entire stream and tribs,821,C,Genesee River,45.92,Streams
0402-0027,Ont 117- 25,"Oatka Creek, Lower, and minor tribs",stream and tribs fr mouth to Mud Creek,821,B,Genesee River,38.17,Streams
0402-0028,Ont 117- 19,"Black Creek, Middle, and minor tribs",stream and select/smaller tribs fr Churchville to Byron,898,C,Genesee River,103.05,Streams
0402-0029,Ont 117- 25,"Oatka Creek, Upper, and minor tribs",stream and tribs above Warsaw,910,C,Genesee River,55.78,Streams
0402-0031,Ont 117- 25,"Oatka Creek, Middle, and minor tribs",stream and tribs from Mud Creek to Pearl Creek,931,C,Genesee River,111.69,Streams
0402-0033,Ont 117- 19,"Black Creek, Lower, and minor tribs",stream and select/smaller tribs fr mouth to Churchville,821,C,Genesee River,137.91,Streams
0402-0036,Ont 117- 19-28,Spring Creek and tribs,entire stream and tribs,821,C,Genesee River,39.19,Streams
0402-0037,Ont 117- 60,Beards/Bairds Creek and tribs,entire stream and selected/smaller tribs,821,C,Genesee River,50.13,Streams
0402-0038,Ont 117- 40,Conesus Creek and minor tribs,entire stream and selected/smaller tribs,821,C,Genesee River,22.42,Streams
0402-0039,Ont 117- 26 thru 69,Minor Tribs to Middle Genesee River,total length of selected/smaller tribs to Genesee River,821,C,Genesee River,135.09,Streams
0402-0040,Ont 117- 27-14,Spring Brook and tribs,entire stream and tribs,821,C,Genesee River,53.38,Streams
0402-0041,Ont 117- 25,"Oatka Creek, Middle, and minor tribs",stream and tribs from Pearl Creek to Warsaw,821,C,Genesee River,116.9,Streams
0402-0042,Ont 117- 27-34-11,Canadice Lake Outlet and tribs,entire stream and tribs,821,AA(T),Genesee River,17.05,Streams
0402-0043,Ont 117- 27-34-P44-,Minor Tribs to Hemlock Lake,entire length of selected/smaller tribs to Hemlock Lake,821,C,Genesee River,26.53,Streams
0402-0044,Ont 117- 27-P57-10,Honeoye Inlet and tribs,entire stream and tribs,821,C,Genesee River,34.54,Streams
0402-0045,Ont 117- 27-P57-,Minor Tribs to Honeoye Lake,entire length of selected/smaller tribs to Honeoye Lake,821,C,Genesee River,39.06,Streams
0402-0046,Ont 117- 40-P67-,Minor Tribs to Conesus Lake,entire length of selected/smaller tribs to Conesus Lake,821,C,Genesee River,58.58,Streams
0402-0047,Ont 117- 18,"Little Black Creek, Lower, and tribs",stream and tribs from mouth to Coldwater,821,C,Genesee River,33.8,Streams
0402-0048,Ont 117- 19,"Black Creek, Upper, and minor tribs",stream and tribs above Byron,821,C,Genesee River,56.34,Streams
0402-0049,Ont 117- 19- 4,Mill Creek/Blue Pond Outlet and tribs,entire stream and tribs,821,C,Genesee River,29.2,Streams
0402-0054,Ont 117- 25- 7,Mud Creek and tribs,entire stream and tribs,821,C,Genesee River,23.79,Streams
0402-0055,Ont 117- 25-20,Pearl Creek and tribs,entire stream and tribs,821,C,Genesee River,35.92,Streams
0402-0057,Ont 117- 25-57,Stony Creek and tribs,entire stream and tribs,821,C,Genesee River,20.62,Streams
0402-0058,Ont 117- 25-70,Warner Creek and tribs,entire stream and tribs,821,C,Genesee River,22.21,Streams
0402-0059,Ont 117- 30,unnamed tributary to Genesee River,entire stream and tribs,821,C,Genesee River,25.69,Streams
0402-0060,Ont 117- 42,Christie Creek and tribs,entire stream and tribs,821,C,Genesee River,30.81,Streams
0402-0061,Ont 117- 27,"Honeoye Creek, Upper, and minor tribs",stream and smaller tribs fr Honeoye Falls to Honeoye Lk,821,C,Genesee River,125.13,Streams
0402-0062,Ont 117- 45,Fowlerville Creek and tribs,entire stream and tribs,821,C,Genesee River,18.27,Streams
0402-0063,Ont 117- 53,Salt/Bidwells Creek and tribs,entire stream and tribs,821,C,Genesee River,30.55,Streams
0402-0064,Ont 117- 57,Jaycox Creek and tribs,entire stream and tribs,821,C,Genesee River,34.36,Streams
0402-0066,Ont 117- 27,"Honeoye Creek, Middle, and minor tribs",stream and smaller tribs fr Spring Br to Honeoye Falls,821,B,Genesee River,3.07,Streams
0402-0067,Ont 117- 27-28,Beebe Creek and tribs,entire stream and tribs,821,C,Genesee River,46.15,Streams
0402-0068,Ont 117- 27-34- 7,Kinney Creek and tribs,entire stream and tribs,821,C,Genesee River,17.86,Streams
0402-0069,Ont 117- 27-34-11-P43-,Tribs to Canadice Lake,entire length of all tribs to Canadice Lake,821,C,Genesee River,27.3,Streams
0402-0070,Ont 117- 27-34-P44-7,Springwater Creek and minor tribs,stream and selected/smaller tirbs,821,C,Genesee River,49.5,Streams
0402-0071,Ont 117- 27-47,Mill Creek and tribs,entire stream and tribs,821,C,Genesee River,27.19,Streams
0402-0075,Ont 117- 40-1,Little Conesus Creek and tribs,entire stream and tribs,821,C,Genesee River,26.22,Streams
0402-0076,Ont 117- 40-P67-09,North McMillian Creek and tribs,entire stream and tribs,821,C,Genesee River,24.08,Streams
0402-0077,Ont 117- 40-P67-10,Conesus Inlet and minor tribs,entire stream and selected/smaller tribs,821,C,Genesee River,57.63,Streams
0402-0078,Ont 117- 40-P67-10-2,South Branch McMillan Creek and tribs,entire stream and tribs,821,C,Genesee River,22.52,Streams
0403-0001,Ont 117 (portion 10),"Genesee River, Upper, Main Stem",from Wellsville to Stannards,821,A(T),Genesee River,10.99,Streams
0403-0003,Ont 117- 87,"Wolf Creek, Upper, and tribs",stream and tribs above Letchworth State Park,821,C,Genesee River,34.65,Streams
0403-0004,Ont 117-184,"Dyke Creek, Lower, and tribs",stream and tribs from mouth to Andover,821,C(T),Genesee River,65.95,Streams
0403-0006,Ont 117 (portion  6),"Genesee River, Upper, Main Stem",from Mount Morris Reservoir to Rossburg,821,B,Genesee River,17.51,Streams
0403-0008,Ont 117-136,"Caneadea Creek, Lower, and tribs",stream and tribs from mouth to Rushford Lake,821,C,Genesee River,6.46,Streams
0403-0011,Ont 117-176,Vandermark Creek and tribs,entire stream and tribs,821,C(TS),Genesee River,45.98,Streams
0403-0019,Ont 117-104,"Wiscoy Creek, Upper, and tribs",stream and tribs above Pike Five Corners,821,C(T),Genesee River,62.73,Streams
0403-0020,Ont 117-104- 3,"East Koy Creek, Lower, and tribs",stream and tribs from mouth to Lamont,821,C(T),Genesee River,31.6,Streams
0403-0022,Ont 117 (portion  9),"Genesee River, Upper, Main Stem",from Angelica to Wellsville,821,C,Genesee River,19.38,Streams
0403-0023,Ont 117-104,"Wiscoy Creek, Lower, and minor tribs",stream and smaller tribs fr mouth to Pike Five Corners,821,C(T),Genesee River,46.71,Streams
0403-0025,Ont 117-164,Van Campen Creek and minor tribs,entire stream and selected/smaller tribs,821,C,Genesee River,62.05,Streams
0403-0026,Ont 117-155,Angelica Creek and minor tribs,entire stream and selected/smaller tribs,821,C,Genesee River,49.14,Streams
0403-0027,Ont 117-201,Cryder Creek and minor tribs,entire stream and tribs (in NYS),821,C(T),Genesee River,48.34,Streams
0403-0028,Ont 117-  8 thru 24 (selected),Minor Tribs to Middle Genesee River,total length of selected/smaller tribs to Genesee River,821,C,Genesee River,15.71,Streams
0403-0029,Ont 117-105 thru 135,Minor Tributaries to Genesee River,total length of selected/smaller tribs to Genesee River,821,C,Genesee River,72.89,Streams
0403-0030,Ont 117-137 thru 154,Minor Tributaries to Genesee River,total length of selected/smaller tribs to Genesee River,821,C,Genesee River,35.32,Streams
0403-0031,Ont 117-156 thru 183,Minor Tributaries to Genesee River,total length of selected/smaller tribs to Genesee River,821,C,Genesee River,108.03,Streams
0403-0032,Ont 117-185 thru 200,Minor Tributaries to Genesee River,total length of selected/smaller tribs to Genesee River,821,C,Genesee River,36.88,Streams
0403-0033,Ont 117-204- 4,Ainsworth Brook and tribs,entire stream and tribs (in NYS),821,C,Genesee River,1.81,Streams
0403-0034,Ont 117- 70,"Silver Lake Outlet, Upper, and tribs",stream and tribs fr Letchworth S.P. border to Silver Lk,821,C,Genesee River,24.27,Streams
0403-0035,Ont 117-175,Knight Creek and tribs,entire stream and tribs,821,C,Genesee River,33.4,Streams
0403-0036,Ont 117-187,Chenunda Creek and tribs,entire stream and tribs,821,C(T),Genesee River,52.32,Streams
0403-0037,Ont 117 (portion  4),"Genesee River, Middle, Main Stem",from Mount Morris to Mount Morris Dam,821,A,Genesee River,1.66,Streams
0403-0038,Ont 117 (portion  7),"Genesee River, Upper, Main Stem",from Rossburg to Caneadea,821,C,Genesee River,16.62,Streams
0403-0039,Ont 117 (portion 11),"Genesee River, Upper, Main Stem",from Stannards to NY-PA border,821,C(T),Genesee River,1.31,Streams
0403-0042,"Ont 117- 69 thru 91, Upper (select)","Minor Tribs, Upper, to Genesee River",total length of portions of selected tribs to Genesee R,821,C,Genesee River,56.55,Streams
0403-0043,Ont 117- 93 thru 103,Minor Tribs to Genesee River,total length of selected/smaller tribs to Genesee River,821,C,Genesee River,39.27,Streams
0403-0044,Ont 117- 70-P115-,Silver Lake Inlet/Tribs to Silver Lake,entire length of all tribs to Silver Lake,821,C,Genesee River,34.33,Streams
0403-0045,Ont 117-104- 3,"East Koy Creek, Middle, and tribs",stream and tribs from Lamont to Hermitage,821,C(T),Genesee River,24.15,Streams
0403-0046,Ont 117-104- 3,"East Koy Creek, Upper, and tribs",stream and tribs above Hermitage,821,C(T),Genesee River,38.72,Streams
0403-0047,Ont 117-104- 8,Trout Brook and tribs,entire stream and tribs,821,C(T),Genesee River,46.64,Streams
0403-0057,Ont 117-117,Rush Creek and tribs,entire stream and tribs,821,C,Genesee River,77.44,Streams
0403-0058,Ont 117-118,Cold Creek and tribs,entire stream and tribs,821,C,Genesee River,95.08,Streams
0403-0059,Ont 117-128,Houghton Creek and tribs,entire stream and tribs,821,C,Genesee River,12.86,Streams
0403-0060,Ont 117-136,"Caneadea Creek, Upper, and tribs",stream and tribs above Rushford Lake,821,C(T),Genesee River,100.51,Streams
0403-0061,Ont 117-136-P146-,Rush Creek/Minor Tribs to Rushford Lake,total length of selected/smaller tribs to lake,821,C(TS),Genesee River,28.6,Streams
0403-0062,Ont 117-140,Crawford Creek and tribs,entire stream and tribs,910,C,Genesee River,17.89,Streams
0403-0063,Ont 117-147,Wigwam Creek and tribs,entire stream and tribs,910,C,Genesee River,22.88,Streams
0403-0064,Ont 117-148,Black Creek and tribs,entire stream and tribs,910,C,Genesee River,68.48,Streams
0403-0065,Ont 117-149,White Creek and tribs,entire stream and tribs,910,C,Genesee River,30.14,Streams
0403-0066,Ont 117-155- 2,Baker Creek and tribs,entire stream and tribs,910,C,Genesee River,43.73,Streams
0403-0067,Ont 117-155- 9,Black Creek and tribs,entire stream and tribs,910,C,Genesee River,80.6,Streams
0403-0068,Ont 117-164-10,South Branch Van Campen Creek and tribs,entire stream and tribs,910,C,Genesee River,38.06,Streams
0403-0069,Ont 117-167,Phillips Creek and tribs,entire stream and tribs,910,C,Genesee River,59.29,Streams
0403-0070,Ont 117-180,Brimmer Brook and tribs,entire stream and tribs,910,C,Genesee River,12.01,Streams
0403-0071,Ont 117-184,"Dyke Creek, Upper, and tribs",stream and tribs above Andover,821,C,Genesee River,39.59,Streams
0403-0072,Ont 117-184-12,"Railroad Brook, Marsh Creeks and tribs",entire length of both streams and tribs,821,C,Genesee River,27.7,Streams
0403-0073,Ont 117-189,Ford Brook and tribs,entire stream and tribs,910,C(T),Genesee River,18.06,Streams
0403-0074,Ont 117-192,Marsh Creek and tribs,entire stream and tribs,865,C(T),Genesee River,13.92,Streams
0403-0075,Ont 117-201-11,Wileyville Creek and tribs,entire stream and tribs (in NYS),821,C(TS),Genesee River,21.69,Streams
0403-0077,Ont 117 (portion  8),"Genesee River, Upper, Main Stem",from Caneadea to Angelica,821,C,Genesee River,9.55,Streams
0403-0078,"Ont 117- 69 thru 91, Lower (select)","Minor Tribs, Lower, to Genesee River",total lecgth of portions of selected tribs to Genesee R,821,B,Genesee River,26.07,Streams
0404-0001,Ont 117- 66,"Canaseraga Creek, Lower, and minor tribs",stream and smaller tribs from mouth to Dansville,821,C,Genesee River,94.79,Streams
0404-0002,Ont 117- 66,"Canaseraga Creek, Upper, and tribs",stream and tribs above Canaseraga,821,C,Genesee River,99.57,Streams
0404-0010,Ont 117- 66- 3,"Keshequa Creek, Lower, and tribs",stream and tribs from mouth to Tuscarora,821,A,Genesee River,33.74,Streams
0404-0011,Ont 117- 66-22,Mill Creek and minor tribs,entire stream and minor tribs,821,C(TS),Genesee River,52.84,Streams
0404-0012,Ont 117- 66-  c,unnamed trib in Mount Morris,entire stream and tribs,821,C,Genesee River,12.82,Streams
0404-0013,Ont 117- 66,"Canaseraga Creek, Middle, and minor trib",stream and smaller tribs from Dansville to Canaseraga,821,C,Genesee River,38.98,Streams
0404-0014,"Ont 117- 66- 1,-1-1","Tuscarora, Buck Run Creeks and tribs",entire streams and tribs,821,C,Genesee River,43.56,Streams
0404-0015,Ont 117- 66- 3,"Keshequa Creek, Middle, and tribs",stream and tribs from Tuscarora to Nunda,821,C,Genesee River,62.78,Streams
0404-0016,Ont 117- 66- 3,"Keshequa Creek, Upper, and tribs",stream and tribs above Nunda,821,C,Genesee River,52.66,Streams
0404-0017,Ont 117- 66- 3- 7,Wildcat Gully Creek and tribs,entire stream and tribs,821,C,Genesee River,10.94,Streams
0404-0018,Ont 117- 66- 3-25,Newville Creek and tribs,entire stream and tribs,821,C,Genesee River,12.53,Streams
0404-0019,Ont 117- 66- 8,State/West Ditch and minor tribs,entire stream and selected/smaller tribs,821,C,Genesee River,49.17,Streams
0404-0020,Ont 117- 66- 8- 2,Bradner Creek and tribs,entire stream and tribs,860,C,Genesee River,57.42,Streams
0404-0021,Ont 117- 66- 8- 3,Two Mile Creek and tribs,entire stream and tribs,860,C,Genesee River,22.11,Streams
0404-0022,Ont 117- 66-17a,Patterson Gully Creek and tribs,entire stream and tribs,865,C,Genesee River,15.29,Streams
0404-0023,Ont 117- 66-18,Mud Creek and tribs,entire stream and tribs,865,C,Genesee River,30.32,Streams
0404-0024,Ont 117- 66-22-1,Little Mill Creek and tribs,entire stream and tribs,865,AA,Genesee River,19.82,Streams
0404-0025,Ont 117- 66-25,"Stony Brook, Lower, and tribs",stream and tribs within/below Stony Brook State Park,865,B(T),Genesee River,17.05,Streams
0404-0026,Ont 117- 66-28,Sugar Creek and tribs,entire stream and tribs,865,C(T),Genesee River,40.77,Streams
0404-0027,Ont 117- 66-31,Slader Creek and tribs,entire stream and tribs,865,C,Genesee River,38.09,Streams
0404-0028,Ont 117- 66- 3-25-3,Dunns Brook and tribs,entire stream and tribs,865,AA(T),Genesee River,2.57,Streams
0404-0029,Ont 117- 66-25,"Stony Brook, Upper, and tribs",stream and tribs above Stony Brook State Park,865,C,Genesee River,32.53,Streams
0501-0003,Pa  3-28,"Newtown Creek, Lower, and tribs","stream and selected tribs, mouth to Elmira Hgts N",810,C,Chemung River,15.74,Streams
0501-0004,Pa  3-52,"Post Creek, Upper, and tribs","stream and tribs, above Ferenbaugh",811,C,Chemung River,42.82,Streams
0501-0007,Pa  3-28,"Newtown Creek, Middle, and minor tribs","stream and selected tribs, Elmira Hgts N to Breesport",810,C,Chemung River,19.29,Streams
0501-0013,Pa  3-18,Seeley Creek and minor tribs,entire stream and selected tribs,811,C,Chemung River,38.22,Streams
0501-0014,Pa  3 (portion 1),"Chemung River, Lower, Main Stem",from Waverly to Wellsburg,811,A,Chemung River,10.01,Streams
0501-0015,Pa  3 (portion 2),"Chemung River, Lower, Main Stem",from Wellsburg to Elmira,811,C,Chemung River,9.17,Streams
0501-0016,Pa  3 (portion 3),"Chemung River, Upper, Main Stem",from Elmira to near Big Flats,811,A,Chemung River,11.5,Streams
0501-0017,Pa  3 (portion 4),"Chemung River, Upper, Main Stem",from near Big Flats to Painted Post,811,C,Chemung River,9.93,Streams
0501-0018,Pa  3- 1 thru 5,Minor Tribs to Lower Chemung River,"total length of all tribs, from Waverly to Chemung",811,C,Chemung River,19.83,Streams
0501-0019,Pa  3- 6,"Wynkoop Creek, Lower, and tribs","stream and tribs, from mouth to below Beantown",811,C,Chemung River,28.37,Streams
0501-0020,Pa  3- 6,"Wynkoop Creek, Upper, and tribs","stream and tribs, above Beantown",811,C(T),Chemung River,37.77,Streams
0501-0021,Pa  3- 7 thru 12,Minor Tribs to Chemung River,"total length of all tribs, from Chemung to Wellburg",811,C,Chemung River,23.32,Streams
0501-0022,Pa  3-14,"Baldwin Creek, Lower, and tribs","stream and tribs, from mouth to East Elmira",811,C,Chemung River,12.64,Streams
0501-0023,Pa  3-14,"Baldwin Creek, Upper, and tribs","stream and tribs, above East Elmira",811,C,Chemung River,41.66,Streams
0501-0024,Pa  3-14- 2,Goldsmith Creek and tribs,entire stream and tribs,811,C,Chemung River,20.48,Streams
0501-0026,Pa  3-16,Bentley Creek and tribs,entire stream and tribs,811,C,Chemung River,10.91,Streams
0501-0027,Pa  3-17 thru 27 (selected),Minor Tribs to Lower Chemung River,"total length of selected tribs, from Wellburg to Elmira",811,C,Chemung River,11.56,Streams
0501-0028,Pa  3-18- 1,South Creek and tribs,entire stream and tribs,811,C,Chemung River,20.31,Streams
0501-0029,Pa  3-18-10,Mudlick Creek and tribs,entire stream and tribs,811,C,Chemung River,39.58,Streams
0501-0030,Pa  3-28,"Newtown Creek, Upper, and tribs","stream and tribs, above Breesport",810,C,Chemung River,40.14,Streams
0501-0032,Pa  3-28- 6,Diven/Heller Creek and tribs,entire stream and tribs,810,C,Chemung River,12.28,Streams
0501-0034,Pa  3-28-10,Latta Creek and tribs,entire stream and tribs,810,C,Chemung River,11.43,Streams
0501-0035,Pa  3-28-13,North Branch Newtown Creek and tribs,entire stream and tribs,810,C,Chemung River,34.84,Streams
0501-0036,Pa  3-28-19,Jackson Creek and tribs,entire stream and tribs,810,C,Chemung River,11.22,Streams
0501-0037,Pa  3-29,"Hoffman Brook, Lower, and tribs","stream and tribs, from mouth to Elmira Reservoir",811,C,Chemung River,3.32,Streams
0501-0038,Pa  3-29,"Hoffman Brook, Upper, and tribs","stream and tribs, above Elmira Reservoir",811,A,Chemung River,6.38,Streams
0501-0040,Pa  3-30 thru 56 (selected),Minor Tribs to Chemung River,"total length of select tribs, fr Elmira to Painted Post",811,C,Chemung River,46.4,Streams
0501-0041,Pa  3-36,Hendy Creek and tribs,entire stream and tribs,811,C,Chemung River,11.35,Streams
0501-0042,Pa  3-39,"Sing Sing Creek, Lower, and minor tribs","stream and selected tribs, from mouth to Fisherville",811,C,Chemung River,14.99,Streams
0501-0043,Pa  3-39,"Sing Sing Creek, Upper, and tribs","stream and tribs, above Fisherville",811,C,Chemung River,30.03,Streams
0501-0044,Pa  3-39- 1,Cuthrie Run/Breed Hollow Brook and tribs,entire stream and tribs,811,C,Chemung River,15.66,Streams
0501-0045,Pa  3-42,Winfield Creek and tribs,entire stream and tribs,811,C,Chemung River,27.5,Streams
0501-0046,Pa  3-47,Whisky Creek and tribs,entire stream and tribs,811,C,Chemung River,22.89,Streams
0501-0047,Pa  3-52,"Post Creek, Lower, and tribs","stream and tribs, from mouth to Ferenbaugh",811,C,Chemung River,16.31,Streams
0501-0048,Pa  3-55,Cutler Creek and tribs,entire stream and tribs,811,C,Chemung River,19.67,Streams
0502-0003,Pa  3-58 (portion 3),"Cohocton River, Middle, and minor tribs","stream and selected tribs, from Kanona to Cohocton",811,C,Chemung River,67.98,Streams
0502-0007,Pa  3-58-15-P47- 6,Tobehanna Creek and tribs,entire stream and tribs,811,C,Chemung River,30.56,Streams
0502-0008,Pa  3-58- 3,"Meads Creek, Lower, and minor tribs","stream and selected tribs, from mouth to Meads Creek",811,C(T),Chemung River,26.95,Streams
0502-0010,Pa  3-58 (portion 1),"Cohocton River, Lower, and minor tribs","stream and selected tribs, from mouth to Savona",811,C,Chemung River,65.88,Streams
0502-0013,Pa  3-58-31,Goff Creek and tribs,entire stream and tribs,811,C(TS),Chemung River,39.87,Streams
0502-0014,Pa  3-58-38,Neil Creek and tribs,entire stream and tribs,811,C(TS),Chemung River,63.21,Streams
0502-0016,Pa  3-58-19,Stocking Creek and tribs,entire stream and tribs,811,C,Chemung River,42.14,Streams
0502-0017,Pa  3-58 (portion 2),"Cohocton River, Middle, and minor tribs","stream and selected tribs, from Savona to Kanona",811,C,Chemung River,42.03,Streams
0502-0018,Pa  3-58 (portion 4),"Cohocton River, Upper, and minor tribs","stream and selected tribs, above Cohocton",811,C(T),Chemung River,97.9,Streams
0502-0019,Pa  3-58- 3,"Meads Creek, Upper, and tribs","stream and tribs, above Meads Creek",811,C(T),Chemung River,60.71,Streams
0502-0020,Pa  3-58- 3- 3,Dry Run and tribs,entire stream and tribs,811,C(TS),Chemung River,32.52,Streams
0502-0022,Pa  3-58- 8,Wolf Run and tribs,entire stream and tribs,811,C,Chemung River,23.63,Streams
0502-0023,Pa  3-58-11,Michigan Creek and tribs,entire stream and tribs,811,C,Chemung River,35.31,Streams
0502-0025,Pa  3-58-15,Mud Creek and tribs,"entire stream and tribs, mouth to Lamoka Lake",811,C,Chemung River,54.48,Streams
0502-0028,Pa  3-58-15-P47-,Tribs to Lamoka Lake and Mill Pond,total length of selected tribs to Lamoka Lake,811,C,Chemung River,24.67,Streams
0502-0029,Pa  3-58-15-P47- 4-P48-,Tribs to Waneta Lake,total length of all tribs to Waneta Lake,811,C,Chemung River,11.98,Streams
0502-0030,Pa  3-58-18,Smith Run/Freeman Hollow Brook and tribs,entire stream and tribs,811,C,Chemung River,25.43,Streams
0502-0031,Pa  3-58-27,"Campbell Creek, Lower, and tribs","stream and tribs, from mouth to Knight Settlement",811,C,Chemung River,20.05,Streams
0502-0032,Pa  3-58-27,"Campbell Creek, Upper, and tribs","stream and tribs, above Knight Settlement",811,C,Chemung River,34.37,Streams
0502-0033,Pa  3-58-28,"Fivemile Creek, Lower, and tribs","stream and tribs, from mouth to Beam Station",811,C,Chemung River,73.75,Streams
0502-0034,Pa  3-58-28,"Fivemile Creek, Upper, and tribs","stream and tribs, above Beam Station",811,C,Chemung River,64.17,Streams
0502-0036,Pa  3-58-32,Salmon Creek and tribs,entire stream and tribs,811,C,Chemung River,20.6,Streams
0502-0038,Pa  3-58-35,Tenmile Creek and tribs,entire stream and tribs,811,C,Chemung River,28.59,Streams
0502-0040,Pa  3-58-39,Twelvemile Creek and tribs,entire stream and tribs,811,C,Chemung River,56.22,Streams
0502-0041,Pa  3-58-45,Davis Hollow Creek and tribs,entire stream and tribs,811,C,Chemung River,16.92,Streams
0503-0001,Pa  3-57- 5 (portion 4),"Canisteo River, Middle, and minor tribs","stream and selected tribs, from Canisteo to Hornell",811,C,Chemung River,57.48,Streams
0503-0004,Pa  3-57,"Tioga River, Main Stem",from Painted Post to NY-Pa state line,811,C,Chemung River,15.17,Streams
0503-0005,Pa  3-57- 5-47,"Canacadea Creek, Upper, and minor tribs","stream and selected tribs, above Almond Reservoir",811,C,Chemung River,47.1,Streams
0503-0006,Pa  3-57- 5 (portion 2),"Canisteo River, Middle, and minor tribs","stream and selected tribs, from Addison to Cameron",811,C,Chemung River,72.5,Streams
