Site_ID,PWL_ID,Segment_Name,Municipality,Site Description,Latitude,Longitude,DEC_Region,Watershed_ID,sampleinfo_present,chem_lab_present,chem_insitu_present,macroinfometrics_present,macroraw_present,habitat_present,userperc_present
01-BLAS-0.1,0104-0038,Blasdell Creek,Hamburg,50 m upstream of lake erie; woodlawn beach state park.,42.79824,-78.85486,9,E-2a,T,T,T,T,T,T,T
17-BLND-0.3,1702-0130,Blind Brook,Rye,just downstream from oakland beack ave.,40.9607,-73.68987,3,(MW3.4)  LIS-11,T,F,F,F,F,T,T
17-BLND-3.4,1702-0130,Blind Brook,Rye,150 m above gaging station; at theodore fremd st.,40.983283,-73.68625,3,(MW3.4)  LIS-11,T,T,T,T,T,T,T
17-BLND-5.7,1702-0130,Blind Brook,Rye,westchester ave;at harrison ex pk;100 m below brdge.,41.00917,-73.69417,3,(MW3.4)  LIS-11,T,F,T,T,T,F,F
17-BLND-6.8,1702-0130,Blind Brook,Harrison,lincoln rd; 150 m south of hutchinson river pkwy.,41.02222,-73.69499,3,(MW3.4)  LIS-11,T,F,T,T,T,T,T
17-BLND-8.2,1702-0130,Blind Brook,Rye,anderson hill rd.,41.04,-73.69019,3,(MW3.4)  LIS-11,T,F,T,T,T,T,T
17-BLND-9.8,1702-0130,Blind Brook,Harrison,just upstream of west rd. this is blind bk not unnamed stream.,41.05494,-73.70377,3,(MW3.4)  LIS-11,T,F,T,T,T,T,T
03-BLSC-1.7,0302-0059,Blind Sodus Creek,Wolcott,Crossing on King Rd.,43.3156509,-76.7234573,8,Ont  75/P77 ..,T,T,T,F,F,T,T
13-BLOK-0.3,1311-0002,Block House Creek,Guilderland,5 m above culvert under state farm rd.,42.68555,-73.90165,4,H-221- 4 (portion 2),T,F,T,T,T,F,F
07-BLDY-0.1,0702-0006,Bloody Brook,Salina,2 m below onondaga lake parkway (rt. 370) bridge.,43.09639,-76.20167,7,ONT-66-12-12-P154-2,T,F,T,T,T,T,T
07-BLDY-0.2,0702-0006,Bloody Brook,Salina,south of liverpool parkway bridge.,43.0973,-76.2016,7,ONT-66-12-12-P154-2,F,F,F,F,F,F,F
13-LBLHN-0.0,1302-0144,Blue Heron Lake,Pound Ridge,"Access type is Private. need lake resident access, but very likely (contacts available).",41.191601,-73.592201,3,H- 31-P44-36-11-P122a,F,F,F,F,T,F,F
09-BOAR-0.8,0902-0025,Boardman Brook,Chateaugay,foundry rd. off rt. 11.,44.92722,-74.07195,5,SLC-21-2-2,T,F,T,T,T,F,F
17-BODN-0.2,1701-0192,Bodine Creek,New York,40 m below culvert under richmond terrace.,40.6375,-74.12832,2,(MW1.2) SI- 9 thru 16,T,F,T,T,T,T,T
17-BODN-1.0,1701-0192,Bodine Creek,New York,20 m above forest ave. bridge; in clove lakes park.,40.6275,-74.12305,2,(MW1.2) SI- 9 thru 16,T,F,T,T,T,T,T
16-BOGH-0.3,1601-0010,Bog Hollow Brook,Dover,brasher rd. bridge.,41.7548,-73.51629,3,Conn 12 thru 18 (selected),F,F,F,F,F,F,F
11-BGMD-2.9,1101-0070,Bog Meadow Brook,Wilton,Upstream Louden road.,43.104752,-73.726856,5,H-299-P27-13- 1-P30-3,T,,T,,,T,T
09-BOGR-0.1,0903-0128,Bog River,Piercefield,rte 421. near spillway pulloff.,44.12861,-74.54556,6,SL-1-P109-11,T,F,T,T,T,F,F
09-BOLA-1.3,0905-0098,Boland Creek,De Kalb,10 m above main st. bridge.,44.4125,-75.39611,6,SL-25-29,T,F,T,T,T,F,F
11-BOLT-0.1,1104-0201,Bolster Creek,Chester,at bridge on route 65/riverside drive.,43.654,-73.806,5,H-391-33-5,T,F,T,T,T,T,T
02-BONE-1.9,0201-0027,Bone Run,South Valley,50 m above bone run rd. (co. rte 33).,42.05199,-78.97876,9,PA-53-4,T,F,T,T,T,F,F
12-BONN-0.1,1201-0056,Bonny Brook,Frankfort,20 m below old cr 5s.,43.05556,-75.09361,6,H-249-195,T,F,T,T,T,F,F
10-BOQT-2.6,1004-0037,Boquet River,Wilsboro,n. main st./rte 22 bridge.,44.36389,-73.390881,5,C- 48,F,T,F,F,F,F,F
10-BOQT-2.8,1004-0037,Boquet River,Willsboro,500 m above rt. 22 bridge.,44.361742,-73.391577,5,C- 48,T,T,T,T,T,T,T
10-BOQT-10.8,1004-0039,Boquet River,Essex,upstream of whallons bay rd.,44.264529,-73.4012,5,C- 48,T,T,T,T,T,T,T
10-BOQT-13.7,1004-0039,Boquet River,Westport,below mariam forge rd. bridge.,44.24111,-73.43,5,C- 48,T,F,T,T,T,F,F
10-BOQT-15.0,1004-0039,Boquet River,Westport,10 m below morrison rd. bridge.,44.22528,-73.44028,5,C- 48,T,F,T,T,T,T,T
10-BOQT-23.2,1004-0046,Boquet River,Lewis,lee bridge rd.,44.24826,-73.52014,5,C- 48,T,T,T,T,T,T,T
10-BOQT-28.5,1004-0046,Boquet River,Elizabethtown,150 m above co rt. 8a bridge.,44.22003,-73.58552,5,C- 48,T,F,T,T,T,T,T
10-BOQT-28.6,1004-0046,Boquet River,Elizabethtown,above cr 8 bridge.,44.21778,-73.58556,5,C- 48,F,T,F,F,F,F,F
10-BOQT-37.2,1004-0081,Boquet River,Elizabethtown,above gilligan rd. bridge.,44.14694,-73.62695,5,C- 48,T,F,T,T,T,F,F
10-BOQT-41.7,1004-0081,Boquet River,Elizabethtown,off route 9. near route 73 junction.,44.10583,-73.68584,5,C- 48,T,F,T,T,T,F,F
11-BORE-1.8,1104-0261,Boreas River,Minerva,20 m above northwoods club rd. bridge.,43.81667,-74.06111,5,H-438,T,F,T,T,T,T,T
01-BOUR-0.4,0105-0024,Bourne Creek,Westfield,rte 5 bridge.,42.35706,-79.5515,9,E-61,T,T,T,T,T,T,T
01-BOWE-5.2,0102-0036,Bowen Creek,Alexander,pike rd. bridge.,42.95635,-78.25796,8,ONT-158-12-28,T,F,T,T,T,T,T
13-BOWR-0.8,1309-0011,Bowery Creek,Durham,mullens rd.,42.35114,-74.07278,4,H-193,T,F,T,T,T,F,F
13-WBOWR-1.8,1309-0011,Bowery Creek,Durham,above cr 20.,42.3397,-74.0784,4,H-193,F,F,F,F,F,F,F
06-BOWM-3.6,0602-0144,Bowman Creek,Smithville,end of livingston rd.,42.42639,-75.66639,7,SR-44-39,T,F,T,T,T,F,F
02-BOYC-0.9,0201-0052,Boyce Run,Franklinville,just south off bryant hill rd.,42.337,-78.48,9,PA-53-54-10-23,T,F,T,T,T,T,T
13-BOZN-1.4,1311-0017,Bozen Kill,Guilderland,20 m below rt. 158 bridge.,42.72278,-73.99277,4,H-221- 4-270- 1,T,F,T,T,T,F,F
13-BOZN-3.5,1311-0017,Bozen Kill,Guilderland,upstream of westfall rd.,42.7136,-74.0465,4,H-221- 4-270- 1,F,F,F,T,T,F,F
06-BRAC-0.2,0602-0046,Brackel Creek,Cincinnatus,cr 166 bridge at mcfarland rd.,42.53,-75.89861,7,SR-44-14-27-34,T,F,T,T,T,F,F
08-ADKS_34-0.2,0801-0346,Bradley Brook,Arietta,50 m above moose river rd.,43.7025,-74.59638,5,ONT-19-81,T,F,F,T,T,F,F
08-BRDL-0.1,0801-0346,Bradley Brook,Arietta,15 m above bridge. sign indicates bradley bk.,43.70083,-74.59639,5,ONT-19-81-71,T,F,T,F,F,F,F
06-BALE-0.2,0603-0045,Bradley Creek,Union,30 m upstream of bradley creek rd. bridge.,42.14889,-76.06276,7,SR-28-6,T,F,T,T,T,F,F
04-BADN-2.0,0404-0020,Bradner Creek,Groveland,20 m below rte 259 bridge.,42.66107,-77.78068,8,ONT-117-66-8-2-1,T,F,T,T,T,F,F
04-BADN-8.7,0404-0020,Bradner Creek,West Sparta,off Woodsville rd.,42.580246,-77.738438,8,Ont 117- 66- 8- 2,T,T,T,T,T,T,T
12-BRAH-0.1,1202-0041,Bradt Hollow Creek,Berne,20 m above confl. with fox creek.,42.62167,-74.1711,4,H-240-82-67-23a,T,F,T,T,T,F,F
12-BRAH-0.9,1202-0041,Bradt Hollow Creek,Berne,below cr 9 bridge.,42.61472,-74.18166,4,H-240-82-67-23a,T,F,T,T,T,F,F
07-BRDY-1.2,0703-0032,Brady Brook,Verona,"sr 46 bridge (just north of fox st.)


























just below rt 46.",43.12806,-75.67278,6,ONT-66-11-P26-25-1,T,F,T,T,T,F,F
13-BRAD-1.1,1302-0057,Brady Brook,Pawling,100 m above rte. 22.,41.53222,-73.58417,3,H- 31-P44-24 (portion 6),T,F,T,T,T,F,F
09-BRAB-1.1,0902-0001,Branch Brook,Malone,20 m above duane rd. (cr 25) bridge.,44.83139,-74.28111,5,SLC-29-6,T,F,T,T,T,F,F
09-BRND-2.5,0901-0013,Brandy Brook,Waddington,franklin rd. cr 44.,44.84972,-75.16417,6,SL-11,T,T,T,T,T,T,T
10-BRAY-1.5,1002-0018,Brandy Brook,Altona,jerusalem rd.,44.806416,-73.724275,5,C-  3 (portion 5),T,T,T,T,T,T,T
09-BRND-0.5,0901-0013,Brandy Brook,Waddington,Downstream state highway 37 bridge and approximately 0.5 miles from mouth.,44.874496,-75.160378,6,SL-11,T,,T,,,,T
09-BRND-1.6,0901-0013,Brandy Brook,Waddington,Multiplate site approximately 1.5 miles from mouth.,44.860545,-75.161246,6,SL-11,T,,T,,,,T
12-SCHE-0.6,,Brandywine Creek,Schenectady,off i-890. between brd.way and michigan ave exits.,42.80067,-73.94111,4,H-240-21 thru 28,T,F,T,T,T,F,F
04-BRMR-1.7,0403-0070,Brimmer Brook,Wellsville,rte 419 bridge 50 m upstream.,42.12443,-77.98993,9,ONT-117-180,T,F,T,F,F,T,T
12-BRIM-0.5,1201-0128,Brimstone Creek,Canajoharie,west ames rd. bridge.,42.83972,-74.61,4,H-240-112-14,T,T,T,T,T,T,T
12-BRIM-2.2,1201-0128,Brimstone Creek,Canajoharie,50 m below rt. 10 bridge.,42.8225,-74.59306,4,H-240-112-14,T,F,T,T,T,F,F
12-BRIM-3.6,1201-0128,Brimstone Creek,Sharon,30 m above greene rd. culvert.,42.80695,-74.60889,4,H-240-112-14,T,F,T,T,T,F,F
12-BRIM-4.2,1201-0128,Brimstone Creek,Sharon,200 m above stp discharge.,42.80083,-74.6161,4,H-240-112-14,T,F,T,T,T,F,F
12-BRIM-4.4,1201-0128,Brimstone Creek,Sharon,100 m above rt. 10 bridge; .25 mi. above stp.,42.79944,-74.61723,4,H-240-112-14,T,F,T,T,T,F,F
14-BRIS-2.0,1401-0118,Briscoe Lake Outlet,Bethel,huff rd. bridge.,41.77056,-74.90471,3,D-53-1,T,T,T,T,T,T,T
13-BVRD-0.1,1302-0059,Broad Brook,Bedford,30 m above confluence with beaver dam brook.,41.2475,-73.67083,3,H- 31-P44-36,T,F,T,T,T,F,F
13-BDHW-0.1,1307-0007,Broadstreet Hollow,Shandaken,adjacent (ds) of old brd.street hollow bmp-control site.,42.112642,-74.35849,3,H-171 (portion 4),T,F,T,T,T,T,T
03-BROK-2.0,0301-0028,Brockport Creek,Clarkson,co. rte 18 bridge; 20 m upstream.,43.2832,-77.83455,8,ONT-125-2,T,F,T,T,T,F,F
03-BROK-4.7,0301-0028,Brockport Creek,Clarkson,0.2 mi us of Lawton Rd,43.2610855,-77.8959198,8,Ont 125- 2,T,T,T,F,F,T,T
02-STRW-1.1,0202-0005,Broken Straw Creek,Clymer,knowltown rd; 50 m upstream.,42.01023,-79.617,9,PA-77,T,F,T,T,T,F,F
02-STRW-7.3,0202-0005,Broken Straw Creek,Clymer,nazareth rd. bridge.,42.014612,-79.537887,9,Pa-77,F,F,F,T,T,F,T
02-STRW-5.0,0202-0005,Brokenstraw Creek,Clymer,"Brokenstraw Creek; possible low gradient or marsh, 200ft off of rd (cafisch rd-looks like it's a dirt road)",42.000909,-79.565465,9,Pa-77,T,,T,,,T,T
17-BRNX-2.8,1702-0106,Bronx River,New York,immediately downstream of 182nd st. dam in tail race.,40.843223,-73.87668,2,(MW2.4)  ER-3,T,F,T,T,T,T,T
17-BRNX-5.6,1702-0106,Bronx River,New York,150 m above east gun hill rd. bridge.,40.88,-73.8686,2,(MW2.4)  ER-3,T,T,T,T,T,T,T
17-BRNX-9.2,1702-0107,Bronx River,Yonkers,sherwood ave.,40.915,-73.849,3,(MW2.4)  ER-3,T,F,T,T,T,T,T
17-BRNX-12.3,1702-0107,Bronx River,Yonkers,bridge above crestview station.,40.95944,-73.821995,3,(MW2.4)  ER-3,T,T,T,T,T,T,T
17-BRNX-17.3,1702-0107,Bronx River,White Plains,100 m below bronx river parkway bridge.,41.02417,-73.78306,3,(MW2.4)  ER-3,T,T,T,T,T,T,T
06-WSEGO-0.1,0601-0179,Brookwood Point Stream,Otsego,200 feet from confluence with otsego lake.,42.7268,-74.91845,4,SR-P404,F,F,F,F,F,F,F
17-BRWN-0.9,1701-0097,Brown Creek,Islip,20 m below aldrich st. culvert.,40.74611,-73.07694,1,(MW7.5)  AO-GSB-189,T,F,T,T,T,T,T
02-BROW-0.7,0202-0061,Brownell Branch,Clymer,"co. rt 8


























nazareth rd. bridge.",42.025,-79.595,9,PA-77-2,T,F,T,T,T,F,F
11-BROB-0.3,1104-0278,Browns Brook,Indian Lake,rte. 12/cedar river rd. bridge.,43.783,-74.427,5,H-469,T,F,T,T,T,T,T
04-BRON-3.2,0402-0039,Browns Creek,York,sr 36 bridge.,42.87573,-77.88352,8,ONT-117-49,T,F,T,T,T,T,T
04-BRON-4.7,0402-0039,Browns Creek,York,350 m upstream of limerick rd.,42.875885,-77.910178,8,Ont 117-26 thru 69,T,F,T,T,T,T,T
03-BRSH-4.6,0301-0030,Brush Creek,Hamlin,ny 260/walker lake ontario Rd.,43.3275986,-77.8588409,8,Ont 126 thru 129,T,F,T,F,F,T,T
09-BCKB-0.6,0904-0034,Buck Brook,Clare,white rd. hike to creek from rd. over barbed wire fence. cows.,44.43864,-75.04945,6,SL-2-48-4,T,F,T,T,T,T,T
14-BUCB-0.6,1401-0126,Buck Brook,Callicoon,rte 95 bridge.,41.81083,-74.99028,3,D-53-2,T,F,T,F,F,F,F
08-BUCC-0.1,0801-0207,Buck Creek,Inlet,access across from 7th lake boat launch site is upstream about 200 m next to usgs gaging station.,43.7389,-74.7222,5,ONT-19-81-18-P782d-10-P787a-4,T,F,T,T,T,T,T
04-BUCK-2.0,0404-0014,Buck Run Creek,Mount Morris,rte. 36; 50yds above bridge.,42.71334,-77.86745,8,ONT-117-66-1-1,T,T,T,T,T,T,T
13-LBUCK-0.0,,Buckingham Lake,Albany,off berkshire blvd.,42.663725,-73.806324,4,,F,F,F,F,T,F,F
02-BKTH-0.1,0201-0027,Bucktooth Run,Salamanca,"10 m above


























jimmerman rd. br.",42.16222,-78.77361,9,PA-53-20,T,F,T,T,T,F,F
01-BUFC-2.2,0103-0003,Buffalo Creek,West Seneca,40 m below rt. 277 bridge at usgs gaging station.,42.85474,-78.75507,9,E-1,T,T,T,T,T,T,T
01-BUFC-7.3,0103-0003,Buffalo Creek,Elma,at knabb rd. bridge.,42.84521,-78.67744,9,E-1,T,F,T,F,F,F,F
01-BUFC-21.2,0103-0004,Buffalo Creek,Wales,50 m above rte 20a bridge.,42.76775,-78.53103,9,E-1,T,F,T,T,T,T,T
01-BUFC-37.8,0103-0004,Buffalo Creek,Java,100 m off cr 395.,42.64,-78.462,9,Ont 158..E- 1*,T,T,T,T,T,T,T
01-WBUFC-2.2,0103-0003,Buffalo Creek,West Seneca,40 m below rt. 277 bridge at usgs gaging station.,42.854476,-78.75511,9,E-1,F,F,F,F,F,F,F
01-WBUFC-27.1,0103-0004,Buffalo Creek,Wales,downstream of centerline rd. (cr 175a) bridge.,42.736997,-78.479227,9,Ont 158..E-1,F,F,F,F,F,F,F
01-BUFF-0.1,0104-0033,Buffalo River,Buffalo,near mouth. at coast guard station. red buoy 4.,42.878,-78.88699,9,E,T,F,T,F,F,F,F
01-BUFF-1.7,0103-0001,Buffalo River,Buffalo,below ohio st. bridge.,42.86194,-78.86787,9,E-1,T,T,T,T,T,F,T
01-BUFF-5.9,0103-0001,Buffalo River,Buffalo,bailey ave bridge.,42.86198,-78.8251,9,E-1,T,F,T,F,F,F,F
05-BULK-0.3,0501-0035,Bulkley Creek,Veteran,20 m above bush rd. bridge.,42.20931,-76.7628,8,PA-3-28-13-6,T,F,T,T,T,F,F
05-BULK-1.8,0501-0035,Bulkley Creek,Veteran,,42.223078,-76.745444,8,Pa  3-28-13,T,T,T,F,F,T,T
01-BULL-1.5,0102-0026,Bull Creek,Wheatfield,just below townline rd. bridge.,43.06575,-78.82275,9,ONT-158-12-3,T,F,T,T,T,F,F
09-BULC-0.4,0904-0023,Bullock Creek,Russell,450 m nw off cr 24; sandy.,44.380737,-75.18925,6,SL-2-25-2,T,F,T,T,T,F,T
12-BUNN-2.4,1201-0108,Bunn Creek,Amsterdam,5 m below cr 15 bridge.,42.97139,-74.18166,4,H-240-69-1,T,F,T,T,T,T,T
17-BURL-0.4,1702-0120,Burling Brook,New Rochelle,50 m downstream of mt. tom rd; off hillcrest dr.,40.8925,-73.79222,3,(MW3.2)  LIS- 4,T,F,T,T,T,T,T
08-BURN-3.1,0801-0221,Burnt Creek,Watson,at end of private rd. of rf yousey and ho schaats. off number four rd.,43.82947,-75.25346,6,ONT-19-57-7,T,F,T,T,T,F,F
10-BURP-3.7,1004-0079,Burpee Brook,Lewis,cr 10 to denton rd. to west rd.,44.25561,-73.59038,5,C- 48- 6-10,F,F,F,F,F,F,F
16-BURT-2.2,1601-0015,Burton Brook,Dover,20 m upstream of cr 21 bridge.,41.64389,-73.59142,3,Conn 15- 4,T,F,F,T,T,F,F
13-BUSK-0.2,1307-0029,Bush Kill,Olive,rte 28a; second bridge heading towards cr 42.,41.97043,-74.27739,3,H-171/P848- 5,T,T,T,T,T,T,F
13-BUSK-3.0,1307-0029,Bush Kill,Olive,cr 42. watson hollow rd.,41.94952,-74.3192,3,H-171/P848- 5,T,F,T,T,T,T,T
14-BKIL-0.1,1402-0042,Bush Kill,Forestburgh,off rte 49. burns rd. bridge; 5 m upstream.,41.50555,-74.64861,3,D- 1-22,T,F,T,F,F,F,F
14-BSKL-1.3,1401-0027,Bush Kill,Deerpark,cr42 30 m above bridge at outlet of small pond.,41.46797,-74.72916,3,D-10- 5,T,F,T,T,T,T,T
14-BUSH-0.6,1403-0100,Bush Kill,Middletown,off rte 28 east of arkville at debari lane bridge.,42.15111,-74.6011,4,D-70-80,T,F,T,T,T,T,T
14-BUSH-2.9,1403-0100,Bush Kill,Middletown,off old rt 28.,42.1599,-74.55974,4,D-70-80,T,F,T,T,T,T,T
13-BSFD-0.2,1301-0079,Bushfield Creek,Newburgh,algonquin co park. not far dwnstrm of impoundment.,41.522366,-74.057197,3,H- 94,T,F,F,T,T,T,F
13-BSFD-0.5,1301-0079,Bushfield Creek,Newburgh,upstream of algonquin impoundment; near innis ave.,41.522888,-74.063004,3,H- 94,T,F,F,T,T,T,F
13-BSFD-10.0,1301-0079,Bushfield Creek,Plattekill,downstream of sr 32.,41.627338,-74.092239,3,H- 94,T,F,F,T,T,T,F
13-BSNL-0.3,1307-0036,Bushnellsville Creek,Shandaken,0.3 miles upstream of upper esopus creek at usgs csg (right bank).,42.1216,-74.3994,3,H-171/P848-50,T,F,T,T,T,T,T
07-BUTL-3.5,0701-0049,Butler Creek,Butler,at bridge on cr 275.,43.131,-76.75499,8,ONT-66-12-50-P225-2,T,F,T,T,T,T,T
06-BUTS-0.3,0603-0024,Butson Creek,Barton,50 m below rte 17c bridge.,42.04445,-76.44722,7,SR-1-5,T,F,T,T,T,F,F
09-LBUTF-0.0,0906-0020,Butterfield Lake,Alexandria,,44.30996,-75.78176,6,SL-25-7-8-P54,F,F,F,F,T,F,F
03-BUFY-1.8,0303-0098,Butterfly Creek,New Haven,at route 104b bridge.,43.500919,-76.28553,7,ONT-59,T,F,T,T,T,T,T
01-BUTT-0.1,0104-0063,Buttermilk Creek,Ashford,45 m above thomas corners rd. bridge-gaging station.,42.48288,-78.67675,9,E-23-33,T,F,T,T,T,F,F
07-BUTM-0.1,0705-0061,Buttermilk Creek,Ithaca,"rt. 13/34 bridge


























100 m downstream.",42.41778,-76.525,7,ONT-66-12-P 296-75-10,T,F,T,T,T,F,F
06-BTNT-1.3,0601-0050,Butternut Creek,Butternuts,150 below flat iron rd. bridge.,42.41945,-75.36139,4,SR-146-9,T,T,T,T,T,F,F
06-BTNT-1.5,0601-0050,Butternut Creek,Butternuts,200 m above flat iron rd. bridge.,42.42333,-75.35777,4,SR-146-9,T,F,T,T,T,F,F
06-BTNT-2.8,0601-0050,Butternut Creek,Butternuts,50 m above cr 3.,42.43722,-75.34556,4,SR-146-9,T,F,T,T,T,T,T
06-BTNT-6.3,0601-0050,Butternut Creek,Butternuts,20 m below spring st.,42.46444,-75.32167,4,SR-146-9,T,F,T,T,T,F,F
06-BTNT-14.0,0601-0140,Butternut Creek,Morris,20 m above peet rd.,42.52417,-75.25555,4,SR-146-9,T,F,T,T,T,F,F
06-BTNT-16.0,0601-0190,Butternut Creek,Morris,50 m above rte. 23.,42.54556,-75.23833,4,SR-146-9,T,F,T,T,T,T,T
06-BTNT-20.6,0601-0190,Butternut Creek,New Lisbon,20 m above cr 12.,42.58944,-75.19305,4,SR-146-9,T,F,T,T,T,T,T
06-BTNT-25.5,0601-0141,Butternut Creek,New Lisbon,40 m above cr 16.,42.64472,-75.17027,4,SR-146-9,T,F,T,T,T,F,F
06-BTNT-12.0,0601-0140,Butternut Creek,Morris,bailey rd. 50 meters above bridge.,42.511715,-75.27616,4,SR-146- 9 (portion 2),T,T,T,T,T,T,T
07-BNUT-20.6,0703-0100,Butternut Creek,La Fayette,50 m above apulia rd. bridge.,42.91161,-76.07082,7,ONT-66-11-P26-37-6,T,T,T,T,T,F,F
13-BTRN-0.8,1307-0005,Butternut Creek,Olive,0.1 miles below bridge.,41.97111,-74.23139,3,H-171/P848- 1 thru 12 (selected),F,F,F,F,F,F,F
07-BUTN-0.6,0703-0039,Butternut Creek,De Witt,Off E Seneca Tpke in Grist Mill Park.,42.991331,-76.069582,7,Ont  66-11-P26-37- 6,T,,T,,,,T
03-BUTN-7.0,0301-0024,Buttonwood Creek,Parma,50 m above rt. 259/18 bridge.,43.26545,-77.79115,8,ONT-124,T,F,T,T,T,F,F
07-BUTW-1.3,0705-0085,Buttonwood Creek,Reading,Off Spencer road downstream from railroad crossing.,42.447459,-76.924881,8,Ont  66-12-P369- 61 thru 114,T,,T,,,T,T
17-BYRM-1.3,1702-0133,Byram River,North Castle,"20 m below rte. 22 bridge. on west side of 	i-684.",41.12389,-73.70472,3,(MW3.6)  LIS-13,T,T,T,T,T,T,T
17-BYRM-2.3,1702-0133,Byram River,Pemberwick (CT),20 m below comly ave. bridge.,41.02694,-73.66111,3,(MW3.6)  LIS-13,T,F,T,T,T,T,T
11-CADM-0.9,1104-0118,Cadman Creek,Providence,5 m below county rte 13 bridge.,43.08833,-74.07805,5,H-369-P127-26-8,T,F,T,T,T,F,F
14-CDOS-0.1,1403-0003,Cadosia Creek,Hancock,5 m above rt. 17 bridge.,41.96444,-75.26334,4,D-70- 2,T,F,T,T,T,F,F
13-CATI-0.6,1306-0084,Caitlin Creek,Wawayanda,50 m below rte 93.,41.36992,-74.49277,3,H-139-13-62- 2,T,F,T,T,T,F,F
14-CALK-0.3,,Calkins Creek,Milanville (PA),10 m below river rd.,41.6725,-75.06472,3,D-38 thru 52,T,F,T,F,F,F,F
14-CALK-1.3,1401-0126,Calkins Creek,Delaware,,41.786306,-75.03552,3,D-53-2,T,T,T,F,F,T,T
14-CALL-0.2,1401-0004,Callicoon Creek,Delaware,10 m below co. rt. 133 bridge.,41.76444,-75.05556,3,D-53,T,T,T,T,T,T,T
14-CALL-1.7,1401-0004,Callicoon Creek,Delaware,intersection of sr 17b and cr 121; below confl with n br callicoon ck.,41.760347,-75.03366,3,D-53,T,F,T,T,T,T,T
11-CAMD-0.1,1103-0012,Camden Creek,Salem,hickory hill rd. bridge.,43.10222,-73.29972,5,H-301-28,T,F,T,T,T,T,F
11-CAMD-1.2,1103-0012,Camden Creek,Salem,at bridge near the end of side rd. off camden valley rd.,43.1173,-73.29259,5,H-301-28,T,F,T,T,T,F,T
05-CAMP-3.3,0503-0036,Camp Brook,Woodhull,Small bridge on Camp Brook Rd. Alternative historical location in PA just below border at next road crossing.,42.002633,-77.341013,8,Pa 11 thru 20,T,,T,,,T,T
05-CAMP-2.9,,Camp Creek,Osceola (PA),off ny co rt 127. 10 m above dirt rd. bridge.,41.99747,-77.3362,8,,T,F,T,F,F,F,F
14-CBEL-0.3,1403-0036,Campbell Brook,Colchester,100 m above river rd. bridge.,42.045,-75.02194,4,D-70-31,T,F,T,T,T,F,F
05-CAMB-4.3,0502-0031,Campbell Creek,Bath,100 m below turnpike rd. bridge. near airport.,42.32462,-77.40496,8,PA-3-58-27,T,F,F,T,T,F,F
05-CAMB-4.4,0502-0031,Campbell Creek,Bath,15 m above turnpike rd. bridge.,42.32371,-77.40424,8,PA-3-58-27,T,F,T,T,T,F,F
05-CAMB-11.2,0502-0032,Campbell Creek,Howard,20 m downstream of culvert on campbell creek rd.,42.28952,-77.509042,8,Pa 3-58-27,F,F,F,F,F,F,F
05-CAMP- 1.5,0502-0031,Campbell Creek,Bath,"behind 7376 County Route 14, owners address",42.358267,-77.389216,8,Pa  3-58-27,T,,T,,,T,T
17-LCANA-0.0,1701-0099,Canaan Lake,Brookhaven,,40.78536,-73.02089,1,(MW7.5)  AO-GSB-185,F,F,F,F,T,F,F
05-CDEA-0.7,0503-0008,Canacadea Creek,Hornell,10 m above main st. bridge.,42.32906,-77.66588,8,PA-3-57-5-47,T,F,T,T,T,F,F
05-CDEA-1.8,0503-0008,Canacadea Creek,Hornellsville,100 m above rt. 21 bridge at gaging station.,42.33567,-77.68267,8,PA-3-57-5-47,T,T,T,T,T,T,T
05-CDEA-6.3,0503-0005,Canacadea Creek,Almond,20 m above depot st. bridge.,42.31928,-77.73641,9,PA-3-57-5-47,T,F,T,T,T,F,F
05-CDEA-8.6,0503-0005,Canacadea Creek,Almond,100 m below satterlee hill rd. bridge.,42.28976,-77.74727,9,PA-3-57-5-47,T,F,T,T,T,F,F
05-CDEA-10.0,0503-0005,Canacadea Creek,Alfred,30 m above rt. 21 bridge.,42.27025,-77.756,9,PA-3-57-5-47,T,F,T,T,T,F,F
05-CDEA-11.4,0503-0005,Canacadea Creek,Alfred,200 m above treatment plant discharge.,42.2645,-77.7776,9,PA-3-57-5-47,T,F,T,T,T,F,F
05-CDEA-11.5,0503-0005,Canacadea Creek,Alfred,Off State Route 244 above treatment plant discharge.,42.263637,-77.77959,9,Pa 3-57- 5-47,T,,T,,,T,T
07-CNCR-0.4,0703-0010,Canada Creek,Rome,tannery rd. bridge; 5 m above.,43.22944,-75.53972,6,ONT-66-11-P 26-24-1-10,T,F,T,T,T,T,T
01-CWAY-0.2,0105-0008,Canadaway Creek,Dunkirk,at rt. 5 bridge.,42.47538,-79.36556,9,E-37,T,T,T,T,T,T,T
01-CWAY-7.4,0105-0020,Canadaway Creek,Pomfret,10 m upstream of spoden rd. bridge.,42.40326,-79.30452,9,E-37,T,T,T,T,T,T,T
01-CWAY-8.3,0105-0020,Canadaway Creek,Pomfret,50 m above shumla rd. bridge.,42.39059,-79.30078,9,E-37,T,T,T,T,T,T,T
01-CWAY-14.5,0105-0020,Canadaway Creek,Arkwright,cr 312.,42.3672,-79.23686,9,Ont 158..E-37,T,T,T,T,T,T,T
04-DICE-0.7,0402-0042,Canadice Outlet,Livonia,at rt. 15a bridge.,42.78337,-77.60574,8,ONT-117-27-34-11,T,F,T,T,T,F,F
